Country,GDP,info
Aruba,29329.08,na
Africa Eastern and Southern,1625.29,na
Afghanistan,526.14,na
Africa Western and Central,1590.28,na
Angola,2439.37,na
Albania,4531.03,"Lorenc Bushi,17,188,Bronze medal;Rei Dunja,13,390,Honourable mention;Igli Mlloja,12,416,Honourable mention;Eglis Balani,9,471,Honourable mention;Safet Hoxha,8,497,Honourable mention;Seli Lulaj,8,497,Honourable mention"
Andorra,40632.21,na
Arab World,6230.76,na
United Arab Emirates,43063.97,na
Argentina,14613.04,"Ian Fleschler,28,14,Gold medal;Mateo Carranza Vélez,20,103,Silver medal;Julián Masliah,20,103,Silver medal;Nicolás Cassia,17,188,Bronze medal;Bruno Di Sanzo,14,342,Honourable mention;Emiliano Liwski,12,416,Honourable mention"
Armenia,4042.0,"Mikayel Mkrtchyan,20,103,Silver medal;Gagik Magakyan,19,115,Silver medal;Vahan Martirosyan,18,139,Bronze medal;Sergey Nersisyan,18,139,Bronze medal;Vahe Karagulyan,15,292,Honourable mention;Natali Muradyan,9,471,nan"
American Samoa,12372.88,na
Antigua and Barbuda,16803.87,na
Australia,53954.55,"Matthew Cheah,22,72,Silver medal;Linus Cooper,19,115,Silver medal;Guowen Zhang,19,115,Silver medal;James Bang,17,188,Bronze medal;William Hu,16,265,Bronze medal;Hadyn Tang,10,457,Honourable mention"
Austria,47429.16,"Simon Breneis,21,82,Silver medal;Laurenz Kohlbach,21,82,Silver medal;Daniel Holmes,10,457,Honourable mention;Thiemo Dsubanko,8,497,Honourable mention;Maximilian Hofer,8,497,nan;Lorenz Hübel,6,538,nan"
Azerbaijan,4147.2,"Ramil Jabiyev,18,139,Bronze medal;Mirali Ahmadli,17,188,Bronze medal;Anar Rzayev,17,188,Bronze medal;Anar Abbasli,16,265,Bronze medal;Murad Aghazade,15,292,Honourable mention;Emil Gasimov,15,292,Honourable mention"
Burundi,244.15,na
Belgium,44198.48,"Savinien Kreczman,20,103,Silver medal;Rodrigue Haya Enriquez,17,188,Bronze medal;Indy Van Den Broeck,16,265,Bronze medal;Marie Peeters,14,342,Honourable mention;Michaël Maex,9,471,Honourable mention;Robbe Pincket,4,555,nan"
Benin,1095.27,na
Burkina Faso,711.18,na
