Country,GDP,info
Aruba,28449.71,N/A
Africa Eastern and Southern,1444.0,N/A
Afghanistan,523.05,N/A
Africa Western and Central,1648.76,N/A
Angola,1809.71,N/A
Albania,4124.06,"Gledis Kallço,18,206,Bronze medal;Ana Peçini,13,355,Honourable mention;Barjol Lami,12,368,Honourable mention;Fjona Parllaku,8,429,Honourable mention;Keivin Isufaj,4,493,nan;Enea Prifti,3,501,nan"
Andorra,39931.24,N/A
Arab World,6117.87,N/A
United Arab Emirates,41054.54,N/A
Argentina,12790.26,"Agustín Marchionna,17,224,Bronze medal;Lucas de Amorin,16,253,Bronze medal;Nicolás Cassia,14,312,Honourable mention;Ian Fleschler,14,312,Honourable mention;Carlos Soto,9,409,Honourable mention;Carla Crucianelli,5,481,nan"
Armenia,3679.95,"Mikayel Mkrtchyan,23,114,Silver medal;Arsen Hambardzumyan,21,146,Bronze medal;Vahan Martirosyan,21,146,Bronze medal;Sergey Nersisyan,21,146,Bronze medal;Narek Khandanyan,17,224,Bronze medal;Eduard Gomktsyan,15,281,Honourable mention"
American Samoa,13300.82,N/A
Antigua and Barbuda,16449.06,N/A
Australia,49918.79,"Jongmin Lim,23,114,Silver medal;Kevin Xian,23,114,Silver medal;Ilia Kucherov,21,146,Bronze medal;Seyoon Ragavan,21,146,Bronze medal;Wilson Zhao,20,169,Bronze medal;Michelle Chen,16,253,Bronze medal"
Austria,45307.59,"Bruno Perreaux,18,206,Bronze medal;Alexander Hein,17,224,Bronze medal;Miklós Zsigmond Horváth,17,224,Bronze medal;Florian Fürnsinn,14,312,Honourable mention;Alexander Stadler,14,312,Honourable mention;Simon Breneis,9,409,Honourable mention"
Azerbaijan,3880.69,"Mahammad Shirinov,19,184,Bronze medal;Mirali Ahmadli,15,281,Honourable mention;Tahir Nadirov,15,281,Honourable mention;Anar Huseynov,14,312,Honourable mention;Ramil Jabiyev,14,312,Honourable mention;Samir Novruzov,2,515,nan"
Burundi,242.54,N/A
Belgium,42012.62,"Damien Galant,17,224,Bronze medal;Savinien Kreczman,17,224,Bronze medal;Tim Santens,17,224,Bronze medal;Samira Le Grand,12,368,Honourable mention;Rodrigue Haya Enriquez,11,379,nan;Wouter Andriessen,8,429,nan"
Benin,1049.82,N/A
Burkina Faso,665.79,N/A
Bangladesh,1659.96,"Asif E Elahi,28,45,Silver medal;Ahmed Zawad Chowdhury,21,146,Bronze medal;Md Sabbir Rahman,19,184,Bronze medal;Sazid Akhter Turzo,16,253,Bronze medal;S M Nayeemul Islam,15,281,Honourable mention;Md Sanzeed Anwar,13,355,Honourable mention"
Bulgaria,7570.93,"Daniel Atanasov,26,68,Silver medal;Aleksandar Cherganski,26,68,Silver medal;Stanislav Slavov,26,68,Silver medal;Violeta Naydenova,19,184,Bronze medal;Atanas Dinev,18,206,Bronze medal;Hristo Papazov,17,224,Bronze medal"
Bahrain,22867.18,N/A
The Bahamas,29675.54,N/A
Bosnia and Herzegovina,4917.26,"Zlatko Salko Lagumdžija,20,169,Bronze medal;Tijana Babić,16,253,Bronze medal;Adisa Bolić,16,253,Bronze medal;Neira Kurtović,16,253,Bronze medal;Amar Kurić,15,281,Honourable mention;Emin Mrkonja,14,312,Honourable mention"
Belarus,5039.78,"Andrei Asanau,24,94,Silver medal;Aliaksandr Yuran,20,169,Bronze medal;Yahor Dubovik,19,184,Bronze medal;Barys Serankou,19,184,Bronze medal;Illia Pchalintsau,17,224,Bronze medal;Lizaveta Manzhulina,13,355,Honourable mention"
Belize,6099.96,N/A
Bermuda,106885.88,N/A
Bolivia,3013.5,N/A
