Country,GDP,info
Aruba,21026.17,na
Africa Eastern and Southern,710.67,na
Afghanistan,,na
Africa Western and Central,519.76,na
Angola,556.88,na
Albania,1126.68,"Dritan Tako,7,309,nan;Erind Bedalli,6,333,nan;Armand Gela,2,416,nan;Erida Gjini,1,438,nan;Armela Veliaj,1,438,nan"
Andorra,21620.47,na
Arab World,2858.48,na
United Arab Emirates,31855.5,na
Argentina,7666.52,"Leandro Groisman,21,100,Silver medal;Pablo Celayes,20,111,Bronze medal;Laura Bolognini,15,161,Bronze medal;Matias Del Hoyo,15,161,Bronze medal;Iván Angiono,14,176,Bronze medal;Laura Lowenthal,3,394,nan"
Armenia,603.3,"Sevak Mkrtchyan,29,40,Silver medal;David Harutyunyan,23,79,Silver medal;Aram Kalantaryan,20,111,Bronze medal;Tigran Grigoryan,15,161,Bronze medal;Aram Khachatryan,15,161,Bronze medal;Areg Meliksetyan,6,333,nan"
American Samoa,,na
Antigua and Barbuda,11010.2,na
Australia,21870.42,"Peter McNamara,31,28,Gold medal;Geoffrey Chu,28,45,Silver medal;Thomas Sewell,23,79,Silver medal;Allan Sly,21,100,Silver medal;Thomas Xia,15,161,Bronze medal;David Chan,4,368,nan"
Austria,24625.6,"Otmar Ertl,22,89,Silver medal;Stephan Wagner,22,89,Silver medal;Dénes Koch,11,213,Bronze medal;Daniel Dvořák,9,260,nan;Babette Hebenstreit,2,416,nan;Peter Holy,2,416,nan"
Azerbaijan,655.1,"Kamran Mammadov,10,230,Honourable mention;Elcin Bagirov,8,287,nan;Nazim Balayev,7,309,Honourable mention;Fuad Malikov,3,394,nan;Aydin Shukurov,3,394,nan;Rajab Agabeyzada,1,438,nan"
Burundi,138.0,na
Belgium,23098.89,"Pierre Gramme,15,161,Bronze medal;Koen Goossens,13,190,Bronze medal;François Foucart,9,260,Honourable mention;Gery Debongnie,5,350,nan;Tom Honorez,5,350,nan;Hannes Lowette,4,368,nan"
Benin,503.0,na
Burkina Faso,249.8,na
Bangladesh,413.1,na
Bulgaria,1621.26,"Vladimir Barzov,36,12,Gold medal;Dimitar Zhechev,35,15,Gold medal;Nikolay Andreev,28,45,Silver medal;Greta Panova,27,52,Silver medal;Alexandar Popov,26,57,Silver medal;Tseno Tselkov,17,138,Bronze medal"
Bahrain,12738.77,na
The Bahamas,24849.61,na
Bosnia and Herzegovina,1332.21,"Mahir Hadžić,19,123,Bronze medal;Filip Morić,19,123,Bronze medal;Damir Hasić,13,190,Bronze medal;Omer Tanović,11,213,Bronze medal;Boris Marjanović,9,260,nan;Zaim Musa,7,309,nan"
Belarus,1276.28,"Alexandr Usnich,42,1,Gold medal;Artsiom Kokhan,38,7,Gold medal;Aliaksandr Kirkouski,24,68,Silver medal;Yury Hrushetski,23,79,Silver medal;Siarhei Markouski,20,111,Bronze medal;Dzmitry Doryn,18,130,Bronze medal"
Belize,4720.17,na
Bermuda,56284.17,na
Bolivia,977.33,na
Brazil,3726.81,"Daniel Nobuo Uno,17,138,Bronze medal;Daniel Massaki Yamamoto,13,190,Bronze medal;Fabrício Siqueira Benevides,12,204,Bronze medal;Ulisses Medeiros de Albuquerque,9,260,Honourable mention;Humberto Silva Naves,4,368,nan;Sérgio Tadao Martins,3,394,nan"
Barbados,11560.25,na
Brunei Darussalam,17971.89,na
Bhutan,722.83,na
Botswana,3351.7,na
Central African Republic,243.88,na
