Country,GDP,info
Aruba,24452.59,N/A
Africa Eastern and Southern,1656.37,N/A
Afghanistan,562.5,N/A
Africa Western and Central,1679.89,N/A
Angola,3586.66,N/A
Albania,4094.35,"Erjona Topalli,6,445,nan;Ridgers Mema,3,477,nan;Florida Ahmetaj,1,493,nan;Elio Nushi,1,493,nan"
Andorra,48237.89,N/A
Arab World,6437.73,N/A
United Arab Emirates,35392.26,N/A
Argentina,10385.96,"Miguel Maurizio,24,60,Silver medal;Sebastián Prillo,20,151,Bronze medal;Ariel Zylber,16,199,Bronze medal;Carolina Gonzalez,13,313,Honourable mention;Alfredo Umfurer,11,351,Honourable mention;Franco Assenza,8,401,nan"
Armenia,3143.03,"Armen Vardanyan,16,199,Bronze medal;Aleksandr Chatrchyan,14,266,Honourable mention;Artyom Kosyan,13,313,Honourable mention;Mher Mnatsakanyan,10,366,Honourable mention;Narek Hovsepyan,7,418,nan;Tigran Hakobyan,3,477,nan"
American Samoa,10446.86,N/A
Antigua and Barbuda,13404.52,N/A
Australia,52147.02,"Aaron Wan Yau Chong,29,18,Gold medal;Sampson Wong,25,53,Silver medal;Kiho Park,23,64,Silver medal;Stacey Wing Chee Law,22,76,Silver medal;Timothy Large,15,226,Bronze medal;David Vasak,14,266,Honourable mention"
Austria,46903.76,"Felix Dräxler,28,27,Gold medal;Christian Lindorfer,15,226,Bronze medal;Daniel Perz,14,266,Honourable mention;Roland Prohaska,14,266,Honourable mention;Lucas Kletzander,9,386,Honourable mention;Adrian Fuchs,7,418,Honourable mention"
Azerbaijan,5843.53,"Kanan Malikov,21,106,Silver medal;Elshad Mustafayev,21,106,Silver medal;Altun Shukurlu,21,106,Silver medal;Emil Jafarli,20,151,Bronze medal;Subhan Rustamli,15,226,Bronze medal;Naib Baghirov,11,351,Honourable mention"
Burundi,222.66,N/A
Belgium,44184.95,"Stijn Cambie,14,266,Honourable mention;Antoine Dujardin,14,266,Honourable mention;Loïc Burger,11,351,Honourable mention;Thiebout Delabie,10,366,Honourable mention;Tim Seynnaeve,8,401,Honourable mention;Alexander Fisch,7,418,Honourable mention"
Benin,1009.49,N/A
Burkina Faso,627.27,N/A
Bangladesh,776.86,"Tarik Adnan Moon,20,151,Bronze medal;Haque Muhammad Ishfaq,13,313,Honourable mention;Kazi Hasan Zubaer,12,337,Honourable mention;Nafiza Anjum Promee,7,418,Honourable mention;Pranon Rahman Khan,2,484,nan"
Bulgaria,6863.67,"Lyuboslav Nikolaev Panchev,29,18,Gold medal;Aleksandar Makelov,23,64,Silver medal;Victor Valov,21,106,Silver medal;Kubrat Danailov,15,226,Bronze medal;Yoan Delchev,15,226,Bronze medal;Zhivko Zhechev,15,226,Bronze medal"
Bahrain,21186.81,N/A
The Bahamas,27046.66,N/A
Bosnia and Herzegovina,4506.93,"Rijad Skrobo,17,187,Bronze medal;Admir Beširević,15,226,Bronze medal;Mina Ferizbegović,14,266,Honourable mention;Adnan Ademović,13,313,Honourable mention;Ratko Darda,13,313,Honourable mention;Harun Hindija,8,401,Honourable mention"
Belarus,6034.68,"Palina Khudziakova,22,76,Silver medal;Uladzislau Stazhynski,21,106,Silver medal;Sergey Dovgal,19,167,Bronze medal;Siarhei Finski,17,187,Bronze medal;Aliaksandr Kazlou,17,187,Bronze medal;Aliaksei Ivanin,14,266,Honourable mention"
Belize,5399.06,N/A
Bermuda,101875.28,N/A
Bolivia,1922.06,"Arran Fernandez,8,401,nan;Anahi Viviana Castillo Condori,0,501,nan;Mario Iporre Arispe,0,501,nan;Mijael Rodrigo Vargas Godoy,0,501,nan"
Brazil,11249.29,"Marcelo Tadeu de Sá Oliveira Sales,22,76,Silver medal;Matheus Secco Torres da Silva,21,106,Silver medal;Gustavo Lisbôa Empinotti,20,151,Bronze medal;Deborah Barbosa Alves,14,266,Honourable mention;Hanon Guy Lima Rossi,12,337,Honourable mention;João Lucas Camelo Sá,10,366,Honourable mention"
Barbados,16494.24,N/A
Brunei Darussalam,34609.71,N/A
Bhutan,2194.13,N/A
Botswana,6041.73,N/A
Central African Republic,459.78,N/A
Canada,47562.08,"Robin Cheng,35,7,Gold medal;Hunter Spink,32,11,Gold medal;Chen Sun,21,106,Silver medal;Yuqi Zhu,19,167,Bronze medal;Zhuo Qun (Alex) Song,15,226,Bronze medal;Jonathan Zung,7,418,Honourable mention"
Central Europe and the Baltics,12607.86,N/A
Switzerland,76531.37,"Pascal Su,19,167,Bronze medal;Jürg Bachmann,18,174,Bronze medal;Clemens Pohle,18,174,Bronze medal;Lukas Brun,14,266,Honourable mention;Nikola Djokic,13,313,Honourable mention;Raphael Schumacher,10,366,Honourable mention"
Channel Islands,,N/A
Chile,12764.59,N/A
China,4550.47,"Zipei Nie,42,1,Gold medal;Jialun Li,36,4,Gold medal;Yikang Xiao,34,9,Gold medal;Min Zhang,30,16,Gold medal;Li Lai,28,27,Gold medal;Jun Su,27,42,Gold medal"
Ivory Coast,1654.18,"Isaac Jean Eliel Konan,21,106,Silver medal;Allassane Salamy Badélé,14,266,Honourable mention;Gnoléba Ulrich Silvère Goué,12,337,Honourable mention;Daza Louis Zadi,5,461,nan;Yves Carmel Guebae,2,484,nan"
Cameroon,1383.81,N/A
Democratic Republic of the Congo,324.83,N/A
"Congo, Rep.",2962.76,N/A
Colombia,6392.76,"Juan Camilo Azuero Mutis,17,187,Bronze medal;Angela Maria Castañeda Oviedo,15,226,Bronze medal;Carlos Andres Diaz Carrillo,15,226,Bronze medal;David Mauricio Arcila Pardo,13,313,Honourable mention"
Comoros,1384.06,N/A
Cabo Verde,3500.98,N/A
Costa Rica,8147.24,"Anthony Santiago Chaves Aguilar,15,226,Bronze medal;Jonathan Valverde Lizano,14,266,Honourable mention;Oscar Emilio Quesada Herrera,3,477,nan"
Caribbean small states,9271.4,N/A
Cuba,5275.53,"Reynaldo Gil Pons,26,48,Silver medal"
Curacao,,N/A
Cayman Islands,76873.19,N/A
Cyprus,31023.27,"Christos Anastassiades,18,174,Bronze medal;Michael Anastos,13,313,Honourable mention;Panayiota Katsamba,13,313,Honourable mention;Talia Tseriotou,8,401,Honourable mention;Thomas Thoma,7,418,nan;Anastasios Stylianou,3,477,nan"
Czechia,19960.07,N/A
Germany,41572.46,"Lisa Sauermann,36,4,Gold medal;Florian Schweiger,23,64,Silver medal;Fabian Gundlach,22,76,Silver medal;Jens Reinhold,21,106,Silver medal;Michael Schubert,19,167,Bronze medal;Simon Buchholz,17,187,Bronze medal"
Djibouti,1227.82,N/A
Dominica,7182.4,N/A
Denmark,58041.4,"Mathias Bæk Tejs Knudsen,31,13,Gold medal;Nikolaj Kammersgaard,16,199,Bronze medal;Anders Eller Thomsen,15,226,Bronze medal;Mathias Kristensen,10,366,Honourable mention;Niklas Oskar Daniel Hjuler,9,386,Honourable mention;Mathias Weirsøe Klitgaard,9,386,nan"
Dominican Republic,5509.57,N/A
Algeria,4495.92,N/A
Ecuador,4640.25,"Miguel Ordóñez,15,226,Bronze medal;Xavier Soriano,13,313,Honourable mention;Carlos Cortéz,7,418,nan;Jennifer Figueroa,4,473,nan;Nicolás Gómez,0,501,nan;María-José Jaramillo,0,501,nan"
Egypt,2509.77,N/A
Eritrea,504.97,N/A
Spain,30532.48,"Moisés Herradón Cueto,23,64,Silver medal;Ander Lamaison,19,167,Bronze medal;Xavier Fernández-Real,16,199,Bronze medal;Pablo Boixeda,13,313,Honourable mention;Guillem Alsina,10,366,nan;Óscar Rivero,8,401,Honourable mention"
Estonia,14663.04,"Rauno Siinmaa,14,266,Honourable mention;Ants Remm,13,313,Honourable mention;Erik Paemurru,10,366,Honourable mention;Aleksandr Šved,9,386,nan;Andre Tamm,8,401,Honourable mention;Paavo Parmas,7,418,nan"
Ethiopia,335.44,N/A
European Union,32965.58,N/A
Finland,46505.3,"Aleksis Koski,15,226,Bronze medal;Ilmari Kangasniemi,9,386,Honourable mention;Topi Talvitie,9,386,Honourable mention;Olli Hirviniemi,7,418,Honourable mention;Aleksi Korpinen,7,418,Honourable mention;Dimitri Kirichenko,5,461,nan"
Fiji,3469.15,N/A
France,40676.06,"Thomas Budzinski,24,60,Silver medal;Jean-François Martin,24,60,Silver medal;Diane Gallois-Wong,22,76,Silver medal;Matthew Fitch,16,199,Bronze medal;Sergio Véga,14,266,Honourable mention;Victor Mizrahi,5,461,nan"
Faroe Islands,48167.67,N/A
"Micronesia, Fed. Sts.",2760.01,N/A
Gabon,8399.6,N/A
