Country,GDP,info
European Union,17510.23,N/A
Finland,22319.06,"Juha Kivijarvi,8,233,nan;Lari Rajantie,8,233,nan;Simo Suhonen,6,263,nan;Ville Voipio,5,289,nan;Erika Andersson,3,317,nan;Kaarlo Väisänen,3,317,nan"
Fiji,1947.5,N/A
France,23814.23,"Patrick Popescu-Pampu,32,22,Gold medal;Vincent Lefevre,29,40,Silver medal;Denis Auroux,27,52,Silver medal;Paul Zinn-Justin,24,74,Silver medal;Marc de Crisenoy,16,130,Bronze medal;Jean-Paul Mohsen,11,198,nan"
Faroe Islands,19838.5,N/A
"Micronesia, Fed. Sts.",1730.92,N/A
Gabon,5390.54,N/A
United Kingdom,20487.17,"Mark Walters,35,11,Gold medal;Eva Myers,34,14,Gold medal;Robin Michaels,28,48,Silver medal;Luke Pebody,28,48,Silver medal;Oliver Johnson,22,88,Bronze medal;Karen Page,21,96,Bronze medal"
Georgia,765.36,N/A
Ghana,395.04,N/A
Gibraltar,,N/A
Guinea,480.76,N/A
"Gambia, The",633.68,N/A
Guinea-Bissau,221.25,N/A
Equatorial Guinea,268.7,N/A
Greece,11176.46,"Aikaterini Terzoudi,12,186,Honourable mention;Ioannis Mavroidis,11,198,Honourable mention;Konstantinos Bartzis,6,263,nan;Ioannis Vetsikas,4,303,nan;Ioannis Karydis,2,326,nan;Evangelos Papadopoulos,2,326,nan"
Grenada,3069.68,N/A
Greenland,18768.83,N/A
Guatemala,1093.96,N/A
Guam,,N/A
Guyana,501.44,N/A
High income,20744.94,N/A
"Hong Kong SAR, China",17976.47,N/A
Honduras,924.96,N/A
Heavily indebted poor countries (HIPC),352.63,N/A
Croatia,,N/A
Haiti,313.24,N/A
Hungary,3735.11,"Attila Pór,32,22,Gold medal;Zoltán Újvári-Menyhárt,30,33,Silver medal;Balázs Szendrői,25,66,Silver medal;Gyula Lakos,24,74,Silver medal;Gergely Faragó,20,104,Bronze medal;Tamás Kálmán,11,198,nan"
IBRD only,1051.55,N/A
IDA & IBRD total,921.9,N/A
IDA total,414.78,N/A
IDA blend,505.41,N/A
Indonesia,678.98,"Victor Kurniawan,10,210,nan;Iko Pramudiono,6,263,nan;Sal Tigokencono,3,317,nan;Abraham Kresnoadi,2,326,nan;Arthur Niswar,1,343,nan;Rianto Kurniawan,0,346,nan"
IDA only,370.88,N/A
Isle of Man,,N/A
India,317.56,"Kaustubh Namjoshi,24,74,Silver medal;Nilakantan Niranjan,23,84,Bronze medal;Sachin Premsukh Lodha,17,125,Bronze medal;Shobit Sonakiya,16,130,Bronze medal;Swaphil Arvind Mahajan,14,160,Bronze medal;Kartik A. Prasanna,13,171,Honourable mention"
Not classified,,N/A
