Country,GDP,info
Aruba,16675.28,na
Africa Eastern and Southern,700.19,na
Afghanistan,,na
Africa Western and Central,579.7,na
Angola,329.69,na
Albania,586.42,na
Andorra,16670.94,na
Arab World,2131.0,na
United Arab Emirates,25463.5,na
Argentina,7464.47,"Martín Avendaño,37,37,Silver medal;Leandro Saita,36,44,Silver medal;Luis Silvestre,35,49,Silver medal;Dora Tilli,24,132,Bronze medal;Pablo Shmerkin,16,214,nan;Santiago Laplagne,11,284,nan"
Armenia,389.83,"Artur Barkhoudarian,27,114,Bronze medal;Vahe Poladian,24,132,Bronze medal;Arnak Dalalian,23,143,Bronze medal;Vardgues Levonian,21,165,Bronze medal;Haik Mikaelian,15,230,Honourable mention"
American Samoa,,na
Antigua and Barbuda,8788.01,na
Australia,18129.4,"James Lefevre,38,34,Silver medal;William Hawkins,37,37,Silver medal;Andrew Rogers,28,102,Bronze medal;Akshay Venkatesh,28,102,Bronze medal;Nigel Tao,24,132,Bronze medal;Chaitanya Rao,18,193,Honourable mention"
Austria,25646.7,"Theresia Eisenkölbl,42,1,Gold medal;Martin Burger,15,230,nan;Tobias Krenn,15,230,Honourable mention;Christoph Reisinger,15,230,Honourable mention;Markus Wabro,14,244,nan;Florian Herzig,13,254,nan"
Azerbaijan,157.06,na
Burundi,165.59,na
Belgium,24208.55,"Carl D'Halluin,24,132,Bronze medal;Xavier Hainaut,21,165,Bronze medal;Francis Gardeyn,16,214,Honourable mention;Alice Devillers,15,230,Honourable mention;Stefaan Vaes,15,230,Honourable mention;Quentin Louveaux,14,244,Honourable mention"
Benin,269.79,na
Burkina Faso,187.82,na
Bangladesh,292.08,na
Bulgaria,1148.49,"Mladen Dimitrov,42,1,Gold medal;Iasen P. Siderov,42,1,Gold medal;Stanislav Iordanov,41,23,Gold medal;Nikolay Nikolov,35,49,Silver medal;Borislav Deianov,34,58,Silver medal;Grigor Grigorov,29,95,Bronze medal"
Bahrain,9384.77,na
The Bahamas,11085.15,na
Bosnia and Herzegovina,333.78,"Tarik Muharemović,21,165,Bronze medal;Sinan Sinanović,13,254,Honourable mention;Muharem Jakubovic,5,345,nan;Midhat Mujkić,4,356,nan;Emica Dautbegović,1,374,nan"
Belarus,1462.03,"Stanislav Sobolevsky,37,37,Silver medal;Serguei Charapov,24,132,Bronze medal;Vladimir Lechkevitch,24,132,Bronze medal;Artem Chvorin,23,143,Bronze medal;Dmitri Zenevitch,20,176,Bronze medal;Nikolai Kalocha,16,214,Honourable mention"
Belize,3878.97,na
Bermuda,31476.06,na
Bolivia,777.42,na
Brazil,3393.14,"Pablo Emanuel,31,78,Silver medal;Reinaldo Penharrubia Fagundes,31,78,Silver medal;Paulo José Bonfim Gomes Rodrigues,14,244,Honourable mention;Marcelo Mendes de Oliveira,11,284,Honourable mention;Marcondes França Júnior,8,318,Honourable mention"
Barbados,8220.28,na
Brunei Darussalam,14000.45,na
Bhutan,496.79,na
Botswana,2832.81,na
Central African Republic,267.01,na
