Country,GDP,info
Aruba,9274.51,na
Africa Eastern and Southern,702.32,na
Afghanistan,,na
Africa Western and Central,555.93,na
Angola,793.39,na
Albania,652.77,na
Andorra,14529.06,na
Arab World,2012.72,na
United Arab Emirates,21545.46,na
Argentina,4005.2,"Horacio Casini,11,150,Honourable mention;Pablo Lotito,6,201,nan;Leonardo Ornella,6,201,nan"
Armenia,,na
American Samoa,,na
Antigua and Barbuda,6230.47,na
Australia,14284.52,"Terence Tao,34,13,Gold medal;Geoffrey Bailey,20,82,Bronze medal;David Jackson,13,131,nan;Martin O'Hely,13,131,nan;Martin Bush,11,150,Honourable mention;Jeremy Liew,9,174,nan"
Austria,17578.62,"Wolfgang Stöcher,33,14,Gold medal;Guenter Schwarzbauer,24,56,Silver medal;Gudrun Hametner,22,66,Bronze medal;Markus Greiter,12,140,Honourable mention;Markus Haiml,12,140,nan;Markus Schorn,7,195,nan"
Azerbaijan,,na
Burundi,205.32,na
Belgium,16391.09,"Marc-Oliver Coppens,21,73,Bronze medal;Miek Dekeyser,15,113,Bronze medal;Nicolas Maskens,15,113,Bronze medal;Jeffrey Sax,10,166,Honourable mention;Bernard Boigelot,9,174,nan;Marc Lardinois,6,201,nan"
Benin,335.34,na
Burkina Faso,301.95,na
Bangladesh,258.83,na
Bulgaria,2511.39,"Emanouil Atanassov,31,18,Silver medal;Zvezdelina Stankova,29,31,Silver medal;Dobromir Dimitrov,28,38,Silver medal;Dessislava Bakardzieva,23,60,Silver medal;Kamen Alexiev,18,94,Bronze medal;Plamen Iliev,15,113,Bronze medal"
Bahrain,7660.07,na
The Bahamas,10819.27,na
Bosnia and Herzegovina,,na
Belarus,,na
Belize,1831.02,na
Bermuda,24253.18,na
Bolivia,675.71,na
Brazil,,"Lenilson Barreira de Morais,13,131,Honourable mention;Jun Takakura,11,150,Honourable mention;Alberto Adami,7,195,nan;Song San Woei,5,214,nan;Maria Célia Paiva de Freitas,2,243,nan;Walfredo da Costa Cirne Filho,1,258,nan"
Barbados,7005.5,na
Brunei Darussalam,10949.8,na
Bhutan,514.69,na
Botswana,2096.74,na
Central African Republic,476.02,na
Canada,19012.57,"Ravi Vakil,40,8,Gold medal;Patrick Surry,25,52,Silver medal;Colin Springer,22,66,Bronze medal;David McKinnon,15,113,Bronze medal;Philip Jong,11,150,nan;Gurraj Sangha,11,150,Honourable mention"
Central Europe and the Baltics,,na
Switzerland,32690.43,na
Channel Islands,,na
Chile,2015.93,na
China,370.22,"Hongyu He,42,1,Gold medal;Xi Chen,41,6,Gold medal;Guoheng Wei,30,25,Silver medal;Gang Zou,30,25,Silver medal;Jianmei Wang,29,31,Silver medal;Yuhan Zha,29,31,Silver medal"
Ivory Coast,928.64,na
Cameroon,1137.23,na
Democratic Republic of the Congo,272.81,na
"Congo, Rep.",981.89,na
Colombia,1254.53,"Fábio Enrique Brochero Martínez,19,87,Bronze medal;Carlos Thompson,18,94,Bronze medal;Germán Rincón,14,124,Bronze medal;Luis Giraldo,6,201,nan;Jaime Aragon,5,214,nan;Rafael Ortiz,4,223,nan"
Comoros,873.62,na
Cabo Verde,748.25,na
Costa Rica,1537.46,na
Caribbean small states,2752.32,na
Cuba,2633.85,"Sergio Torres,8,185,nan;Rene Guerra Millet,7,195,Honourable mention;Daniel Lodos,6,201,nan;Carlos Mora,6,201,nan;Aldo Rodriguez,6,201,nan;Rolando Uranga Piña,2,243,nan"
Curacao,,na
Cayman Islands,,na
Cyprus,7645.63,"Andreas Achilleos,11,150,Honourable mention;Georgios Hadjispyrides,3,233,nan;Regas Neophyton,3,233,nan;Constantinos Phanouriou,2,243,nan;Charalambos Charalambous,1,258,nan;Irene Savoulli,1,258,nan"
Czechia,,na
Germany,17931.28,"Thorsten Kleinjung,35,12,Gold medal;Andreas Siebert,33,14,Gold medal;Martin Welk,31,18,Silver medal;Martin Härterich,31,18,Silver medal;Eric Müller,30,25,Silver medal;Jörg Eisfeld,29,31,Silver medal;Dirk Liebscher,28,38,Silver medal;Gerard Zenker,27,44,Silver medal;Jens Petersen,27,44,Silver medal;Frank Göring,26,47,Silver medal;Markus Lauer,22,66,Bronze medal"
Djibouti,820.58,na
Dominica,2430.59,na
Denmark,22527.05,na
Dominican Republic,786.38,na
Algeria,2437.38,"Abdelmalek Abdesselam,23,60,Silver medal;Talbi Malik,9,174,Honourable mention;Taslent Mustapha,5,214,nan;Chouik Ahmed,3,233,nan;Bourada Narimane,2,243,nan"
Ecuador,1309.14,"Christian Avendano,1,258,nan"
Egypt,644.22,na
Eritrea,,na
Spain,9703.12,"Fernando Martinez Puente,13,131,Honourable mention;Ramon Esteban Romero,12,140,nan;Boris Bartolome Mana,4,223,nan;Javier Campins Pascual,2,243,nan;Jose I. Nogueira Goriba,2,243,nan;Santiago Perez-Cacho,1,258,nan"
Estonia,,na
Ethiopia,245.08,na
European Union,12176.27,na
Finland,22047.79,"Matti Juhani Lassas,15,113,Bronze medal;Tommi V. Timonen,15,113,Bronze medal;Kim K. Simelius,11,150,nan;Petteri Pajunen,10,166,Honourable mention;Jaakko J. Jokelainen,8,185,nan;Hanna Saukkonen,6,201,nan"
Fiji,1452.19,na
France,17727.51,"Julien Cassaigne,40,8,Gold medal;Pierre Baumann,25,52,Silver medal;Bertrand Eynard,22,66,Bronze medal;Stéphane Guillermou,16,111,Bronze medal;Denis Lallemand,14,124,Bronze medal;David Hermann,11,150,Honourable mention"
Faroe Islands,20626.01,na
"Micronesia, Fed. Sts.",1312.81,na
Gabon,4121.07,na
United Kingdom,15987.17,"Oliver Maxim Riordan,27,44,Silver medal;Gareth John McCaughan,25,52,Silver medal;Malcolm J. Law,23,60,Silver medal;Colin Bell,20,82,Bronze medal;Christopher Ray Nash,19,87,Bronze medal;Joshua R. X. Ross,7,195,nan"
Georgia,,na
Ghana,354.27,na
Gibraltar,,na
Guinea,398.9,na
"Gambia, The",277.54,na
Guinea-Bissau,174.38,na
Equatorial Guinea,232.94,na
Greece,7598.03,"Christos Athanasiadis,19,87,Bronze medal;Evangelos Mouroukos,11,150,Honourable mention;Georgios Mihai,10,166,nan;Antonios Ikonomou,9,174,Honourable mention;Dimitrios Statopoulos,8,185,Honourable mention;Prodromos Symeonidis,8,185,nan"
Grenada,2366.49,na
Greenland,16397.95,na
Guatemala,915.4,na
Guam,,na
Guyana,545.59,na
High income,16003.41,na
"Hong Kong SAR, China",10609.75,na
Honduras,1235.37,na
Heavily indebted poor countries (HIPC),410.16,na
Croatia,,na
Haiti,393.37,na
Hungary,,"Tamás Keleti,26,47,Silver medal;Gábor Drasny,23,60,Silver medal;Mátyás Sustik,21,73,Bronze medal;Tibor Beke,20,82,Bronze medal;András Bíró,11,150,Honourable mention;János Csirik,8,185,nan"
IBRD only,971.21,na
IDA & IBRD total,859.67,na
IDA total,406.57,na
IDA blend,513.31,na
Indonesia,479.81,"Roes Arief Budiman,3,233,nan;Moh. Nanda Kamanaya,2,243,nan;? Sariniatun,1,258,nan"
IDA only,355.74,na
Isle of Man,,na
India,355.74,na
Not classified,,na
Ireland,10715.87,"Luis O'Shea,12,140,nan;Simon Murphy,6,201,nan;Maeve Flynn,4,223,nan;Cormac O'Sullivan,4,223,nan;Jillian Delaney,2,243,nan;Eamonn Maher,2,243,nan"
Iran,2361.42,"Amir Aalam Ghazanfarian,23,60,Silver medal;Arash Hassibi,19,87,Bronze medal;Ali Reza Bigdeli,16,111,Bronze medal;Mohammad Ali Khojastepur,14,124,Bronze medal;Behzad Nazari,10,166,nan;Hessam Hammidi,4,223,nan"
Iraq,3690.07,na
Iceland,24451.97,"Guðbjörn Freyr Jónsson,15,113,Bronze medal;Sverrir Örn Þorvaldsson,10,166,nan;Halldór Árnason,7,195,nan;Ásta Kristjana Sveinsdóttir,5,214,nan"
Israel,,"Shoni Dar,32,16,Gold medal;Yoav Yaffe,19,87,Bronze medal;Erez Lapid,18,94,Bronze medal;Gadi Kozma,17,102,Bronze medal;Elon LindenstraRUS,17,102,Bronze medal;Ariel Shkolnikov,12,140,Honourable mention"
Italy,15744.66,"Andrea Maffei,17,102,Bronze medal;Romano Lonardoni,13,131,Honourable mention;Marco Oman,11,150,nan;Fulvio Piccinonno,3,233,nan"
Jamaica,1625.76,na
Jordan,1988.31,na
Japan,25499.88,na
Kazakhstan,,na
Kenya,386.36,na
Kyrgyz Republic,,na
Cambodia,,na
Kiribati,621.3,na
St. Kitts and Nevis,4179.29,na
South Korea,4748.64,"Young-Hoon Kiem,22,66,Bronze medal;Ki Hong Kim,15,113,Bronze medal;Bok Gi Kim,15,113,Bronze medal;Jo Han Chu,11,150,nan;Su Bin Song,11,150,nan;Ho Jin Ryu,5,214,nan"
Kuwait,9717.63,"Maisoun Al-Mosallam,6,201,nan;Ali Al-Mutairi,5,214,nan;Fouzi Al-Essa,4,223,nan;Haitham Al-Haji,4,223,nan;Safa Abdil Salam,3,233,nan;Waleed Al-Azmi,1,258,nan"
Lao PDR,146.99,na
Lebanon,958.46,na
Liberia,,na
Libya,,na
St. Lucia,3098.44,na
Latin America & Caribbean,,na
Sri Lanka,416.03,na
Lesotho,271.32,na
Late-demographic dividend,1112.07,na
Lithuania,,na
Latvia,,na
"Macao SAR, China",7053.67,na
St. Martin (French part),,na
Morocco,1076.09,"Mouaniss Belrhiti Alaoui,21,73,Bronze medal;Hamou H. Tarik,20,82,Bronze medal;Beljadid Lahcen,13,131,Honourable mention;Abdel Ilah Ecchilali,6,201,nan;Karim Abdelkerim,2,243,nan;Abdella Ziz Sadoqi,0,268,nan"
Moldova,,na
Madagascar,284.6,na
Maldives,798.04,na
Middle East & North Africa,2454.32,na
Mexico,2302.02,"Antonio Peimbert Torres,15,113,Bronze medal;Francisco Javier Zaragoza Martínez,9,174,Honourable mention;Jorge Pérez Hernández,8,185,Honourable mention;José Luis Flores Silva,4,223,nan;Ricardo Torres Rodríguez,3,233,nan;Carlos Enrique Leñero Leal,1,258,nan"
Marshall Islands,1618.06,na
Middle income,862.09,na
North Macedonia,,na
Mali,251.7,na
Malta,5814.36,na
Myanmar,39.65,na
Middle East & North Africa (excluding high income),1674.75,na
Montenegro,,na
Mongolia,1545.23,na
Northern Mariana Islands,,na
Mozambique,,na
Mauritania,742.43,na
Mauritius,2046.04,na
Malawi,229.38,na
Malaysia,2134.52,na
North America,21180.22,na
Namibia,2065.56,na
New Caledonia,12665.91,na
Niger,289.67,na
Nigeria,549.5,na
Nicaragua,641.91,na
Netherlands,17744.5,"Harm Derksen,21,73,Bronze medal;Jeroen Paasschens,19,87,Bronze medal;Richard Huveneers,14,124,Bronze medal;Joris van der Hoeven,13,131,nan;Ronald Blaak,9,174,Honourable mention;Maarten Hilferink,9,174,nan"
Norway,24207.28,"Orjan Johansen,10,166,nan;Arne H. Juul,8,185,nan;Jan Olav Robole,8,185,nan;Biorn-Helge Mevik,3,233,nan;Arne Aas,2,243,nan;Dan Olsen,2,243,nan"
Nepal,186.26,na
Nauru,,na
New Zealand,13759.16,"David Wallace,24,56,Silver medal;Roger Beggs,9,174,nan;Karl Antony Tomlinson,6,201,nan;Rodger Tiedemann,5,214,nan;William Jones,2,243,nan;John Marshall,1,258,nan"
OECD members,14735.73,na
Oman,5165.73,na
Other small states,2573.16,na
Pakistan,356.34,na
Panama,2514.15,na
Peru,730.21,"Francis M. Valeriano C.,17,102,Bronze medal;Edvard Del Carpio Talaverano,12,140,Honourable mention;Hugo R. Nopo Aguilar,11,150,Honourable mention;Joseph C. Caceres,8,185,Honourable mention;Edgar Huarcaya Segovia,4,223,nan;Manuel Cáceres Polo,3,233,nan"
Philippines,734.43,"Victor Luchangco,13,131,Honourable mention;Jerome Suntay Khohayting,11,150,nan;Joseph Del Callar,2,243,nan;Dennis Lee,2,243,nan;Guido David,1,258,nan"
Palau,,na
Papua New Guinea,993.62,na
Poland,,"Grzegorz Zwara,31,18,Silver medal;Grzegorz Łabędzki,12,140,Honourable mention;Rafał Latała,11,150,Honourable mention"
Pre-demographic dividend,620.05,na
Puerto Rico,7595.44,na
"Korea, Dem. People's Rep.",,na
Portugal,5623.7,na
Paraguay,1106.97,na
West Bank and Gaza,,na
Pacific island small states,1181.23,na
Post-demographic dividend,16511.33,na
French Polynesia,13500.03,na
Qatar,14650.74,na
Romania,1753.19,"Nicuşor Dan,42,1,Gold medal;Adrian Vasiu,42,1,Gold medal;Octavian Fărcăşanu,30,25,Silver medal;Andrei Rădulescu-Banu,30,25,Silver medal;Andrei Moroianu,29,31,Silver medal;Florin Belgun,28,38,Silver medal"
Russia,3778.02,"Nicolai Filonov,42,1,Gold medal;Sergei Ivanov,41,6,Gold medal;Dimitri Tuliakov,37,10,Gold medal;Dimitri Ivanov,36,11,Gold medal;Yuri Hohlov,31,18,Silver medal;Sergei Berlov,30,25,Silver medal"
Rwanda,344.48,na
Saudi Arabia,5998.22,na
Sudan,568.79,na
Senegal,902.27,na
