Country,GDP,info
Aruba,25611.18,N/A
Africa Eastern and Southern,1773.65,N/A
Afghanistan,653.42,N/A
Africa Western and Central,1957.92,N/A
Angola,5083.83,N/A
Albania,4247.63,N/A
Andorra,44902.39,N/A
Arab World,7368.7,N/A
United Arab Emirates,44386.79,N/A
Argentina,13082.66,"Ignacio Darago,17,182,Bronze medal;Bruno Staffa,14,254,Bronze medal;Mariano Bonifacio,13,277,Honourable mention;Alejandro Candioti,11,316,Honourable mention;Gastón Salgado,10,350,Honourable mention;Azul Fatalini,9,373,Honourable mention"
Armenia,3643.72,"Edgar Minasyan,22,96,Silver medal;Artyom Kosyan,16,204,Bronze medal;Gevorg Mnatsakanyan,14,254,Bronze medal;Avetik Karagulyan,13,277,Honourable mention;Armen Vardanyan,11,316,Honourable mention;Vazgen Mikayelyan,4,465,nan"
American Samoa,11920.06,N/A
Antigua and Barbuda,15136.84,N/A
Australia,68078.04,"Kaimyn Chapman,24,72,Silver medal;Yanning Xu,21,112,Silver medal;Nancy Fu,16,204,Bronze medal;Alexander Gunning,16,204,Bronze medal;Jason Kwong,15,229,Bronze medal;John Papantoniou,14,254,Bronze medal"
Austria,48564.92,"Johannes Girsch,17,182,Bronze medal;Georg Maierhofer,17,182,Bronze medal;Michael Missethan,15,229,Bronze medal;Nastassia Grimm,14,254,Bronze medal;Bernd Prach,11,316,Honourable mention;Jakob Steininger,5,450,nan"
Azerbaijan,7495.87,"Izmir Aliyev,16,204,Bronze medal;Hasan Hasanzade,14,254,Bronze medal;Farid Verdiyev,11,316,Honourable mention;Shahin Huseynli,9,373,Honourable mention;Mehdi Maharramov,6,442,nan;Suleyman Hasanzade,4,465,nan"
Burundi,238.21,N/A
Belgium,44670.56,"Stijn Cambie,24,72,Silver medal;Alexander Fisch,24,72,Silver medal;Victor Lecomte,14,254,Bronze medal;Adrien Vandenschrick,13,277,Honourable mention;Dieter Plessers,12,302,Honourable mention;Dries De Samblanx,6,442,nan"
Benin,1112.57,N/A
Burkina Faso,733.97,N/A
Bangladesh,876.82,"Dhananjoy Biswas,25,64,Silver medal;Sourav Das,15,229,Bronze medal;Nur Muhammad Shafiullah,15,229,Bronze medal;Mirza Md. Tanjim Shorif Mugdho,11,316,Honourable mention;Adib Hasan,8,398,Honourable mention"
Bulgaria,7430.74,"Bogdan Stankov,33,17,Gold medal;Todor Mihaylov Markov,21,112,Silver medal;Rafael Rafailov,21,112,Silver medal;Todor Sivkov Markov,15,229,Bronze medal;Viktor Radivchev,15,229,Bronze medal;Ivailo Hartarsky,11,316,Honourable mention"
Bahrain,25102.73,N/A
The Bahamas,28059.39,N/A
Bosnia and Herzegovina,4688.35,"Harun Hindija,22,96,Silver medal;Ratko Darda,18,163,Bronze medal;Vladimir Ivković,15,229,Bronze medal;Sead Delalić,10,350,Honourable mention;Marko Rajković,10,350,Honourable mention;Hamza Merzić,9,373,nan"
Belarus,6953.22,"Dzmitry Babrou,24,72,Silver medal;Aliaksei Semchankau,23,85,Silver medal;Artsem Zhuk,22,96,Silver medal;Anastasiya Tanana,21,112,Silver medal;Maryia Mankevich,14,254,Bronze medal;Stephan Dabryneuski,10,350,Honourable mention"
Belize,5635.52,N/A
Bermuda,98431.87,N/A
Bolivia,2562.47,"Natalia Leonila Quiroga Pérez,3,483,nan;Patricia Rejas Calvo,1,514,nan;Winston Ariel Uruchi Quispe,1,514,nan;Melissa Vallejo Escobar,1,514,nan;Raul Alberto Abastoflor,0,529,nan;Xavier Aramayo Carrasco,0,529,nan"
Brazil,12327.51,"Rodrigo Sanches Angelo,28,33,Gold medal;João Lucas Camelo Sá,24,72,Silver medal;Franco Matheus de Alencar Severo,20,140,Bronze medal;Henrique Gasparini Fiúza Do Nascimento,17,182,Bronze medal;Rafael Kazuhiro Miyazaki,14,254,Bronze medal;Maria Clara Mendes Silva,13,277,Honourable mention"
Barbados,16704.92,N/A
Brunei Darussalam,46844.2,N/A
Bhutan,2470.07,N/A
Botswana,6392.99,N/A
Central African Republic,525.87,N/A
Canada,52669.09,"Zhuo Qun (Alex) Song,38,4,Gold medal;Calvin Deng,35,11,Gold medal;Matthew Brennan,28,33,Gold medal;James Rickards,22,96,Silver medal;Kevin Kai Qi Zhou,19,151,Bronze medal;Daniel Spivak,17,182,Bronze medal"
Central Europe and the Baltics,13075.4,N/A
