Country,GDP,info
Aruba,6283.0,N/A
Africa Eastern and Southern,555.61,N/A
Afghanistan,,N/A
Africa Western and Central,578.87,N/A
Angola,684.9,N/A
Albania,693.87,N/A
Andorra,10568.93,N/A
Arab World,2038.03,N/A
United Arab Emirates,23111.38,N/A
Argentina,3454.3,N/A
Armenia,,N/A
American Samoa,,N/A
Antigua and Barbuda,4488.2,N/A
Australia,11391.66,"David Hogan,25,60,Bronze medal;Ross Jones,20,80,Bronze medal;Catherine Playoust,19,87,Bronze medal;Terence Tao,19,87,Bronze medal;Ben Robinson,18,94,Bronze medal;Adrian Chen,16,108,nan"
Austria,13083.07,"Harold Steinacker,32,22,Silver medal;Wolfgang Stöcher,31,26,Silver medal;Helmuth Breitenfellner,24,62,Bronze medal;Markus Schorn,18,94,Bronze medal;Contestant 530,13,129,nan;Contestant 564,9,162,nan"
Azerbaijan,,N/A
Burundi,238.36,N/A
Belgium,12170.04,"Frédéric van der Plancke,26,54,Silver medal;Michel Bultreys,21,73,Bronze medal;Krist Blomme,17,103,Bronze medal;? ?,6,182,nan;? ?,5,189,nan;? ?,4,196,nan"
Benin,293.56,N/A
Burkina Faso,248.09,N/A
Bangladesh,221.57,N/A
Bulgaria,2260.43,"Iliya T. Kraichev,34,15,Gold medal;Ivaylo Marinov Nedelchev,30,30,Silver medal;Dragomir Peykov,27,51,Silver medal;Ivaylo Kortezov,26,54,Silver medal;Vladimir B. Mihov,23,66,Bronze medal;Nikolaii B. Mateev,21,73,Bronze medal"
Bahrain,6780.14,N/A
The Bahamas,9858.3,N/A
Bosnia and Herzegovina,,N/A
Belarus,,N/A
Belize,1385.47,N/A
Bermuda,20450.66,N/A
Bolivia,607.08,N/A
Brazil,,"Ralph Costa Teixeira,37,10,Gold medal;Alexandre de Azevedo Palmeira Filho,14,121,nan;André Luiz Viana Malta,9,162,nan;Evandro Gouvêa,8,172,nan;Marcelo Ricardo Xavier de Mendonça,1,207,nan;Marcos de Castro Pacitti,0,210,nan"
Barbados,5990.46,N/A
Brunei Darussalam,10262.93,N/A
Bhutan,383.09,N/A
Botswana,1180.91,N/A
Central African Republic,434.38,N/A
Canada,14521.18,"Ravi Vakil,32,22,Silver medal;Steven Siu,29,40,Silver medal;Giuseppe Russo,18,94,Bronze medal;Bryan Feir,14,121,nan;Rocky Lee,14,121,nan;Alexandru Romosan,5,189,nan"
Central Europe and the Baltics,,N/A
Switzerland,24459.85,N/A
Channel Islands,,N/A
Chile,1510.02,N/A
China,281.7,"Weimin Fang,41,4,Gold medal;Hao Zhang,39,8,Gold medal;Pingli Li,37,10,Gold medal;Qin Jing,26,54,Silver medal;Qiang Lin,19,87,Bronze medal;Jian Shen,15,110,nan"
Ivory Coast,888.34,N/A
Cameroon,1172.49,N/A
Democratic Republic of the Congo,253.52,N/A
"Congo, Rep.",870.3,N/A
