Country,GDP,info
Aruba,19742.32,na
Africa Eastern and Southern,700.22,na
Afghanistan,,na
Africa Western and Central,1154.48,na
Angola,423.4,na
Albania,813.79,na
Andorra,18592.24,na
Arab World,2367.09,na
United Arab Emirates,25905.84,na
Argentina,8250.67,"Martín Mereb,35,15,Gold medal;Juan Ignacio Fuxman,22,112,Bronze medal;Juan Sebastian Rodriguez,19,145,Bronze medal;Fernando Pastawski,14,194,Bronze medal;Martin Safe,4,326,nan;Jorge Luis Sacchini,3,340,nan"
Armenia,584.38,"Smbat Gogyan,25,86,Silver medal;Gagik Amirkhanyan,24,95,Silver medal;David Harutyunyan,23,104,Bronze medal;Sevak Mkrtchyan,22,112,Bronze medal;Artak Arakelyan,3,340,nan;Rafayel Barkhudaryan,3,340,nan"
American Samoa,,na
Antigua and Barbuda,10029.48,na
Australia,21479.11,"Hiroshi Miyazaki,29,49,Silver medal;Justin Ghan,28,58,Silver medal;Geoffrey Chu,25,86,Silver medal;Justin Koonin,25,86,Silver medal;Stephen Farrar,20,134,Bronze medal;Andrew Cheeseman,19,145,Bronze medal"
Austria,27361.88,"Stephan Wagner,17,165,Bronze medal;Volkmar Lautscham,14,194,Bronze medal;Stefan Schaller,9,253,Honourable mention;Mathias Beiglböck,8,271,nan;Volker Ziegler,5,306,nan;Wolfgang Beyer,4,326,nan"
Azerbaijan,561.91,"Tale Orudjov,16,176,Bronze medal;Namig Kouliyev,10,242,Honourable mention;Farhad Guliyev,6,296,nan;Shahin Teymur Khanli,5,306,nan;Azad Namazov,4,326,nan"
Burundi,148.09,na
Belgium,25338.44,"Filip de Smet,29,49,Silver medal;Lenny Taelman,22,112,Bronze medal;Zhe Han,9,253,nan;Jérôme Lévie,5,306,nan;David Lesthaeghe,3,340,nan;Antoine Vigier,3,340,nan"
Benin,372.88,na
Burkina Faso,250.41,na
Bangladesh,401.97,na
Bulgaria,1820.45,"Ivan Ivanov,39,4,Gold medal;Nayden Kambouchev,37,7,Gold medal;Ivan Petrakiev,37,7,Gold medal;Dimitar Jetchev,30,38,Silver medal;Kalin Rahnev,28,58,Silver medal;Kiril Sakaliyski,24,95,Silver medal"
Bahrain,9195.43,na
The Bahamas,21665.39,na
Bosnia and Herzegovina,1000.42,"Tarik Hadžić,28,58,Silver medal;Damir Hasić,14,194,Bronze medal;Vedad Letić,14,194,Bronze medal;Bakir Lačević,13,206,Honourable mention;Amer Krivošija,10,242,Honourable mention;Mahir Hadžić,9,253,Honourable mention"
Belarus,1511.26,"Ivan Lossev,26,73,Silver medal;Dzmitry Badziahin,21,124,Bronze medal;Pavel Lukyanenka,21,124,Bronze medal;Artsiom Kokhan,20,134,Bronze medal;Ivan Razhnou,19,145,Bronze medal;Yauhen Radyna,11,226,nan"
Belize,4119.71,na
Bermuda,51371.74,na
Bolivia,1025.41,na
Brazil,5049.76,"Rui Lopes Viana Filho,31,29,Gold medal;Emanuel Carneiro,23,104,Bronze medal;Murali Srinivasan Vajapeyan,12,218,Honourable mention;Mauricio Pereira Carrari,11,226,Honourable mention;Daniele Veras de Andrade,7,281,nan;Glauf S. D. Moreira Júnior,7,281,nan"
Barbados,10685.26,na
Brunei Darussalam,12653.81,na
Bhutan,652.36,na
Botswana,2893.33,na
Central African Republic,272.1,na
Canada,21024.59,"Adrian Chan,31,29,Gold medal;Mihaela Enachescu,30,38,Silver medal;Adrian Tang,15,183,Bronze medal;Jimmy Chui,14,194,Bronze medal;Yin (Jessie) Lei,13,206,Honourable mention;Adrian Birka,10,242,nan"
Central Europe and the Baltics,4109.31,na
Switzerland,42680.59,"Simon Baeriswyl,9,253,Honourable mention;Daniel Gerber,7,281,Honourable mention;Lorenz Reichel,7,281,nan;Egon Rutsche,6,296,nan;Meng Chen,5,306,nan;Philipp Reinhard,3,340,nan"
Channel Islands,41229.01,na
Chile,5467.19,na
China,828.59,na
Ivory Coast,1237.13,na
Cameroon,789.27,na
Democratic Republic of the Congo,135.48,na
"Congo, Rep.",663.73,na
