Country,GDP,info
Aruba,26043.16,na
Africa Eastern and Southern,1806.77,na
Afghanistan,608.74,na
Africa Western and Central,1861.38,na
Angola,4608.16,na
Albania,4437.14,"Erjona Topalli,8,402,Honourable mention;Gledis Kallço,5,449,nan;Ridgers Mema,4,466,nan;Jonatan Ismaili,3,491,nan;Olsi Leka,3,491,nan;Florida Ahmetaj,1,530,nan"
Andorra,51428.19,na
Arab World,6894.82,na
United Arab Emirates,42078.61,"Meera Saeed Khalifa Almazrooei,1,530,nan;Asma Saif Mohamed Almazrouei,0,544,nan;Abdelrahman Ali Khamis Alnaqbi,0,544,nan;Noura Eisa Ali Matroushi,0,544,nan;Abdulla Fahad Ali Saif,0,544,nan"
Argentina,12848.74,"Ariel Zylber,28,39,Gold medal;Alejandro Candioti,12,320,Honourable mention;Nicolás Cogorno,10,356,Honourable mention;Carolina Lang,10,356,nan;Bruno Staffa,9,378,Honourable mention;Gastón Salgado,8,402,Honourable mention"
Armenia,3462.68,"Armen Vardanyan,23,83,Silver medal;Mher Mnatsakanyan,11,338,Honourable mention;Artyom Kosyan,10,356,Honourable mention;Arshak Minasyan,10,356,Honourable mention;Daniil Hayrapetyan,7,420,nan"
American Samoa,10495.3,na
Antigua and Barbuda,14774.03,na
Australia,62609.66,"Declan Gorey,22,113,Silver medal;Timothy Large,22,113,Silver medal;Yanning Xu,22,113,Silver medal;Colin Lu,17,222,Bronze medal;Angel Yu,17,222,Bronze medal;Nancy Fu,16,253,Bronze medal"
Austria,51442.28,"Bernd Prach,24,74,Silver medal;Adrian Fuchs,23,83,Silver medal;Georg Anegg,21,145,Bronze medal;Martin Nägele,17,222,Bronze medal;Lucas Kletzander,14,303,Honourable mention;Roland Prohaska,11,338,Honourable mention"
Azerbaijan,7189.82,"Elshad Mustafayev,27,55,Silver medal;Altun Shukurlu,18,202,Bronze medal;Miragha Gafarzada,7,420,Honourable mention;Naib Baghirov,3,491,nan;Hasan Hasanzade,3,491,nan;Gunduz Salimli,3,491,nan"
Burundi,236.45,na
Belgium,47410.57,"Stijn Cambie,18,202,Bronze medal;Alexander Fisch,17,222,Bronze medal;Benoît Legat,16,253,Bronze medal;Tim Seynnaeve,16,253,Bronze medal;François Staelens,12,320,Honourable mention;Elias Moons,9,378,nan"
Benin,1099.41,na
Burkina Faso,727.61,na
Bangladesh,856.38,"Dhananjoy Biswas,21,145,Bronze medal;Kazi Hasan Zubaer,10,356,Honourable mention;Sourav Das,8,402,nan;Nur Muhammad Shafiullah,5,449,nan;Nafiza Anjum Promee,4,466,nan;Fahim Ferdous,2,516,nan"
Bulgaria,7857.17,"Bogdan Stankov,27,55,Silver medal;Rafael Rafailov,23,83,Silver medal;Kubrat Danailov,20,171,Bronze medal;Victor Valov,20,171,Bronze medal;Zhivko Zhechev,19,186,Bronze medal;Milen Ivanov,12,320,Honourable mention"
Bahrain,23741.56,na
The Bahamas,26644.93,na
Bosnia and Herzegovina,4980.9,"Ratko Darda,18,202,Bronze medal;Harun Hindija,15,282,Honourable mention;Zlatan Tucaković,12,320,Honourable mention;Mina Ferizbegović,10,356,Honourable mention;Vladimir Ivković,9,378,Honourable mention;Esma Mujkić,0,544,nan"
Belarus,6527.66,"Henadzi Klimuk,23,83,Silver medal;Artsem Zhuk,22,113,Silver medal;Aliaksei Ivanin,20,171,Bronze medal;Uladzislau Sataneuski,20,171,Bronze medal;Anastasiya Tanana,18,202,Bronze medal;Maryia Mankevich,10,356,Honourable mention"
Belize,5519.34,na
Bermuda,97774.16,na
Bolivia,2304.98,"Diego Salazar Gutiérrez,15,282,Honourable mention;Boris Edgar Tribeño Uyuni,2,516,nan;Angela Andrea Michel Cabezas,0,544,nan;Erick Daniel Vicente Minaya,0,544,nan"
Brazil,13200.56,"João Lucas Camelo Sá,22,113,Silver medal;Henrique Gasparini Fiúza Do Nascimento,22,113,Silver medal;André Macieira Braga Costa,22,113,Silver medal;Deborah Barbosa Alves,20,171,Bronze medal;Maria Clara Mendes Silva,19,186,Bronze medal;Gustavo Lisbôa Empinotti,16,253,Bronze medal"
Barbados,16902.49,na
Brunei Darussalam,46139.11,na
Bhutan,2491.27,na
Botswana,7080.78,na
Central African Republic,515.21,na
Canada,52223.7,"Zhuo Qun (Alex) Song,29,25,Gold medal;James Rickards,22,113,Silver medal;Hunter Spink,22,113,Silver medal;Matthew Brennan,21,145,Bronze medal;Mariya Sardarli,21,145,Bronze medal;Heinrich Jiang,17,222,Bronze medal"
Central Europe and the Baltics,13964.09,na
Switzerland,90476.76,"Nikola Djokic,27,55,Silver medal;Ulrich Brodowsky,24,74,Silver medal;Cyril Frei,16,253,Bronze medal;Louis Hainaut,11,338,Honourable mention;Laura Gremion,6,428,nan;Johannes Kapfhammer,4,466,nan"
Channel Islands,,na
Chile,14637.76,"Felipe Garcia Suarez,20,171,Bronze medal;Diego Navarro Guajardo,9,378,Honourable mention;Daniel Contreras Salinas,6,428,nan;Mauricio Garcia Suarez,6,428,nan;Felipe Ignacio Arbulu Lopez,4,466,nan;Leonardo Dinamarca Opazo,3,491,nan"
China,5614.39,"Lin Chen,38,3,Gold medal;Tianyou Zhou,34,10,Gold medal;Zichao Long,30,14,Gold medal;Bowen Yao,30,14,Gold medal;Zhaorong Jin,29,25,Gold medal;Mengxi Wu,28,39,Gold medal"
Ivory Coast,1701.7,"Allassane Salamy Badélé,12,320,Honourable mention;Abdoul Bamory Cissé,9,378,Honourable mention;Gnoléba Ulrich Silvère Goué,5,449,nan;Daza Louis Zadi,4,466,nan;Yves Carmel Guebae,3,491,nan;Ehui Roméo Kabran,1,530,nan"
Cameroon,1497.93,na
Democratic Republic of the Congo,376.37,na
"Congo, Rep.",3415.06,na
Colombia,7392.94,"Juan Camilo Azuero Mutis,21,145,Bronze medal;Verónica Salazar,14,303,Honourable mention;Maria Ximena Rueda,12,320,Honourable mention;Sebastian Jiménez,10,356,Honourable mention;Luis Felipe Vargas,10,356,Honourable mention;Jesús David Cifuentes,6,428,nan"
Comoros,1526.83,na
Cabo Verde,3880.07,na
