Country,GDP,info
Aruba,10767.4,N/A
Africa Eastern and Southern,725.87,N/A
Afghanistan,,N/A
Africa Western and Central,505.33,N/A
Angola,892.34,N/A
Albania,698.0,N/A
Andorra,15404.82,N/A
Arab World,2104.34,N/A
United Arab Emirates,23141.01,N/A
Argentina,2382.34,N/A
Armenia,,N/A
American Samoa,,N/A
Antigua and Barbuda,6895.39,N/A
Australia,17834.21,"Alan Offer,35,32,Silver medal;Mark Kisin,32,59,Silver medal;Brian Weatherson,21,122,Bronze medal;Kevin Davey,18,141,Bronze medal;Philip Gleeson,8,209,nan;Christopher Eckett,5,236,nan"
Austria,17468.95,"Gudrun Hametner,35,32,Silver medal;Christoph Zechner,33,48,Silver medal;Peter Manhart,23,108,Bronze medal;Peter Haindl,12,181,Honourable mention;Bernhard Klinger,5,236,nan;Matthias Langer,3,258,nan"
Azerbaijan,,N/A
Burundi,207.29,N/A
Belgium,16525.06,"Philippe Masson,22,114,Bronze medal;Jeffrey Sax,20,129,Bronze medal;Maniel Ruiz Lopez,19,134,Bronze medal;Serge Lehman,17,148,Honourable mention;Stefan Rombouts,17,148,Honourable mention;Marc Lardinois,9,204,nan"
Benin,301.68,N/A
Burkina Faso,294.04,N/A
Bangladesh,274.39,N/A
Bulgaria,2477.02,"Emanuil Todorov,39,18,Gold medal;Kamen Alexiev,36,28,Silver medal;Nikolai Stoev,35,32,Silver medal;Dobromir Dimitrov,33,48,Silver medal;Dimitar Grancharov,26,98,Bronze medal;Plamen Iliev,26,98,Bronze medal"
Bahrain,7721.74,N/A
The Bahamas,11533.26,N/A
Bosnia and Herzegovina,,N/A
Belarus,,N/A
Belize,2065.72,N/A
Bermuda,25517.92,N/A
Bolivia,678.64,N/A
Brazil,2875.58,"Edson Roberto Abe,20,129,Bronze medal;Marcus André de Carvalho Torres,19,134,Bronze medal;Carlos Gustavo T. de A. Moreira,19,134,Bronze medal;Shauy Hsu Pin,5,236,nan;Tadeu Alexandre de A. e Silva,1,275,nan;Alexandre Xavier Iwata de Carvalho,0,283,nan"
Barbados,7753.03,N/A
Brunei Darussalam,11762.35,N/A
Bhutan,486.58,N/A
Botswana,2369.13,N/A
Central African Republic,452.97,N/A
Canada,20794.68,"Philip Jong,35,32,Silver medal;Jeffrey Higham,26,98,Bronze medal;Hugh Thomas,22,114,Bronze medal;Ian Goldberg,21,122,Bronze medal;Andrew Chow,11,190,Honourable mention;James Law,8,209,Honourable mention"
Central Europe and the Baltics,,N/A
Switzerland,31308.65,N/A
Channel Islands,,N/A
Chile,2280.27,N/A
China,407.89,"Huazhang Luo,42,1,Gold medal;Xiaoming Huo,41,11,Gold medal;Buxing Jiang,41,11,Gold medal;Yang Yu,41,11,Gold medal;Ruoxi Tang,37,21,Silver medal;Huafei Yan,35,32,Silver medal"
Ivory Coast,851.21,N/A
Cameroon,993.09,N/A
Democratic Republic of the Congo,253.32,N/A
"Congo, Rep.",1030.36,N/A
Colombia,1238.6,"Fábio Enrique Brochero Martínez,30,71,Silver medal;Carlos Thompson,28,82,Bronze medal;Germán Rincón,21,122,Bronze medal;Juan Camilo Gomez,15,165,Honourable mention;Juan Carlos Vera,13,176,Honourable mention;Diego Jara,12,181,Honourable mention"
Comoros,813.85,N/A
Cabo Verde,746.75,N/A
Costa Rica,1705.43,N/A
Caribbean small states,2802.62,N/A
Cuba,2567.02,"Rolando Uranga Piña,23,108,Bronze medal;Jorge Alejandro Piñero Barcelo,16,162,Honourable mention;Castor José Alvarez Bebesa,11,190,Honourable mention;Fremior Camba Aldanás,10,196,nan;Li-Vang Lozada Chang,9,204,Honourable mention;Mauricio Romero Sicre,0,283,nan"
Curacao,,N/A
Cayman Islands,,N/A
Cyprus,8038.91,"Regas Neophyton,8,209,Honourable mention;Symeon Karmios,5,236,nan;Soteroula Loizidou,4,248,nan;Chrystalla Lymbouridou,4,248,nan;Constantinos Stavrakis,2,265,nan;Georgios Hadjispyrides,1,275,nan"
Czechia,,N/A
Germany,17764.38,"Frank Göring,42,1,Gold medal;Andreas Siebert,42,1,Gold medal;Gerard Zenker,42,1,Gold medal;Martin Härterich,41,11,Gold medal;Jürgen Wolff,36,28,Silver medal;Andreas Gathmann,34,41,Silver medal;Jan Fricke,33,48,Silver medal;Jan Hendrik Schmidt,31,65,Silver medal;Andre Pönitz,30,71,Silver medal;Rüdiger Belch,27,88,Bronze medal;Marten Fels,27,88,Bronze medal;Markus Oswald,18,141,Bronze medal"
Djibouti,785.29,N/A
Dominica,2645.76,N/A
Denmark,21901.05,N/A
Dominican Republic,957.96,N/A
Algeria,2235.27,N/A
Ecuador,1360.49,N/A
Egypt,712.91,N/A
Eritrea,,N/A
Spain,10681.97,"Vicente Muñoz Velazquez,21,122,Bronze medal;Christina Draper Fontanales,11,190,Honourable mention;Enrique Garcia Lopez,11,190,Honourable mention;Alberto Garcia Martinez,8,209,Honourable mention;Javier Portella Lemos,8,209,Honourable mention;Leandro Marin Muños,2,265,nan"
Estonia,,N/A
Ethiopia,248.43,N/A
European Union,12396.1,N/A
Finland,23973.24,"Tommi V. Timonen,15,165,Honourable mention;Hannu Helminen,13,176,Honourable mention;Kimmo Uutela,10,196,Honourable mention;Jukka Kohonen,8,209,nan;Mika Seppä,6,229,nan;Kim K. Simelius,6,229,nan"
Fiji,1530.55,N/A
France,17747.58,"Xavier Leleu,35,32,Silver medal;Antoine Chambert Loir,28,82,Bronze medal;Stéphane Guillermou,27,88,Bronze medal;Franck Latremoliere,23,108,Bronze medal;Emmanuel Grenier,22,114,Bronze medal;Jean Louis Tu,21,122,Bronze medal"
Faroe Islands,18360.4,N/A
"Micronesia, Fed. Sts.",1396.75,N/A
Gabon,4376.76,N/A
United Kingdom,16239.28,"Oliver Maxim Riordan,31,65,Silver medal;Christopher Ray Nash,30,71,Silver medal;Vin de Silva,27,88,Bronze medal;John Anthony Simcox,15,165,Honourable mention;Clive Jones,11,190,nan;Katherine Mary Christie,8,209,Honourable mention"
Georgia,,N/A
Ghana,348.9,N/A
Gibraltar,,N/A
Guinea,396.34,N/A
"Gambia, The",284.2,N/A
Guinea-Bissau,222.43,N/A
Equatorial Guinea,196.84,N/A
Greece,7846.68,"Christos Athanasiadis,35,32,Silver medal;Georgios Papoutsis,26,98,Bronze medal;Prodromos Symeonidis,23,108,Bronze medal;Dimitrios Statopoulos,19,134,Bronze medal;Antonios Ikonomou,12,181,Honourable mention;Evangelos Mouroukos,7,222,Honourable mention"
Grenada,2694.18,N/A
Greenland,16813.74,N/A
Guatemala,955.11,N/A
Guam,,N/A
Guyana,504.42,N/A
High income,16620.0,N/A
"Hong Kong SAR, China",12097.75,N/A
Honduras,1105.56,N/A
Heavily indebted poor countries (HIPC),406.16,N/A
Croatia,,N/A
Haiti,403.33,N/A
Hungary,,"Péter Benczúr,37,21,Silver medal;József Balogh,34,41,Silver medal;Tamás Fleiner,34,41,Silver medal;Gábor Pásztor,30,71,Silver medal;János Csirik,23,108,Bronze medal;Mátyás Sustik,17,148,Honourable mention"
IBRD only,963.99,N/A
IDA & IBRD total,851.97,N/A
IDA total,400.83,N/A
IDA blend,480.16,N/A
Indonesia,527.81,"? Rustamaji,14,172,nan;? Satriyo Nugroho,4,248,nan;? Wiharto,2,265,nan;? Soepriadi,1,275,nan;? Hermanto,0,283,nan;? Wirasaputra,0,283,nan"
IDA only,363.71,N/A
Isle of Man,,N/A
India,347.46,"Ajay Subramanian,29,76,Bronze medal;Arvind Rajaraman,24,104,Bronze medal;Amol S. Dighe,22,114,Bronze medal;Upendra B. Kulkarni,22,114,Bronze medal;Manoj P. Samanta,7,222,Honourable mention;? Murali Dhar,3,258,nan"
Not classified,,N/A
Ireland,11175.82,"Andrew David McMurry,15,165,Honourable mention;Stephen Craddock,7,222,nan;Conrad Hughes,6,229,nan;Finian Raftery,5,236,nan;Jillian Delaney,2,265,nan;Diarmuid Manning,2,265,nan"
Iran,2246.19,"Mohammad Jaber Borran,32,59,Silver medal;Mehdi Rezaiy,31,65,Silver medal;Mohammad Ali Khojastepur,29,76,Bronze medal;Amirabas Abedy,27,88,Bronze medal;Shahriar Mokhtari Sharghi,20,129,Bronze medal;Alyani Kurosh,8,209,Honourable mention"
Iraq,3774.21,N/A
Iceland,22434.35,"Guðbjörn Freyr Jónsson,17,148,Honourable mention;Hrafnkell Kárason,9,204,Honourable mention;Ólafur Örn Jónsson,4,248,nan;Halldór Árnason,3,258,nan"
Israel,,"Erez Lapid,33,48,Silver medal;Shoni Dar,32,59,Silver medal;Gadi Kozma,28,82,Bronze medal;Aharon Miller,6,229,nan;Ido Barnea,5,236,nan;Avraham Goldstein,1,275,nan"
Italy,16386.66,"Sergio Conti,31,65,Silver medal;Alessandro D'Andrea,27,88,Bronze medal;Carlo Mantegazza,21,122,Bronze medal;Fulvio Piccinonno,17,148,Honourable mention;Romano Lonardoni,14,172,Honourable mention;Andrea Maffei,14,172,Honourable mention"
Jamaica,1855.99,N/A
Jordan,1274.97,N/A
Japan,25265.95,N/A
Kazakhstan,,N/A
Kenya,369.98,N/A
Kyrgyz Republic,,N/A
Cambodia,,N/A
Kiribati,603.01,N/A
St. Kitts and Nevis,4696.49,N/A
South Korea,5817.07,"Gyu-Wan Hwang,33,48,Silver medal;Cho-Hong Min,17,148,Honourable mention;Jin-Min Chung,13,176,Honourable mention;Bok Gi Kim,12,181,Honourable mention;Dong Hun Lee,12,181,Honourable mention;Heejin Park,10,196,nan"
Kuwait,11001.68,"? Al-Mutawa,14,172,nan;? Owayed,8,209,nan;? Dashti,6,229,nan;Salah Boftain,3,258,nan;? Al-Marzouq,0,283,nan;? Baqer,0,283,nan"
