Country,GDP,info
Aruba,7567.25,N/A
Africa Eastern and Southern,655.89,N/A
Afghanistan,,N/A
Africa Western and Central,578.12,N/A
Angola,756.43,N/A
Albania,674.79,N/A
Andorra,12833.0,N/A
Arab World,2142.98,N/A
United Arab Emirates,23088.2,N/A
Argentina,3492.69,N/A
Armenia,,N/A
American Samoa,,N/A
Antigua and Barbuda,5239.46,N/A
Australia,11650.8,"Terence Tao,40,28,Silver medal;Kin Yan Chung,33,55,Silver medal;Ben Robinson,32,59,Silver medal;Ian Wanless,15,131,nan;Jonathan Potts,14,135,nan;Luke Seberry,9,170,nan"
Austria,16392.77,"Wolfgang Stöcher,41,23,Silver medal;Helmuth Breitenfellner,33,55,Silver medal;Herwig Egghart,22,95,Bronze medal;Wilhelm Schlag,21,101,Bronze medal;Walter Peinhopf,19,113,Bronze medal;Markus Greiter,14,135,nan"
Azerbaijan,,N/A
Burundi,219.37,N/A
Belgium,15135.85,"V. Lombart,31,65,Bronze medal;O. Ducarme,14,135,nan;B. Vinck,12,146,nan;T. de Rooy,7,180,nan;B. Lemmens,5,196,nan;N. Nasdrovisky,5,196,nan"
Benin,333.22,N/A
Burkina Faso,280.95,N/A
Bangladesh,241.79,N/A
Bulgaria,3132.3,"Vladimir B. Mihov,42,1,Gold medal;Ivaylo Kortezov,41,23,Silver medal;Dragomir Peykov,40,28,Silver medal;Zvezdelina Stankova,34,51,Silver medal;Emanouil Atanassov,31,65,Bronze medal;Dessislava Bakardzieva,22,95,Bronze medal"
Bahrain,7270.2,N/A
The Bahamas,10617.41,N/A
Bosnia and Herzegovina,,N/A
Belarus,,N/A
Belize,1643.95,N/A
Bermuda,22411.8,N/A
Bolivia,652.71,N/A
Brazil,,"Ralph Costa Teixeira,42,1,Gold medal;Marcelo Ricardo Xavier de Mendonça,25,86,Bronze medal;Felipe Fritz Braga,22,95,Bronze medal;Alberto Adami,10,159,nan;Marcelo Coelho Ferraz,10,159,nan;Herbert Cesar Gonçalves,7,180,nan"
Barbados,6589.38,N/A
Brunei Darussalam,11587.49,N/A
Bhutan,472.24,N/A
Botswana,1610.37,N/A
Central African Republic,459.17,N/A
Canada,16377.69,"Ravi Vakil,42,1,Gold medal;Colin Springer,33,55,Silver medal;Rocky Lee,19,113,Bronze medal;Stephen Fry,17,121,nan;Gavin MacBeath,17,121,nan;David Lee,11,151,nan"
Central Europe and the Baltics,,N/A
Switzerland,30440.51,N/A
Channel Islands,,N/A
Chile,1750.26,N/A
China,301.73,"Xiong Liu,42,1,Gold medal;Jun Teng,42,1,Gold medal;Qiang Lin,34,51,Silver medal;Zigang Pan,34,51,Silver medal;Xia Gao,29,72,Bronze medal;Jianxun He,19,113,Bronze medal"
Ivory Coast,946.0,N/A
Cameroon,1250.7,N/A
Democratic Republic of the Congo,219.34,N/A
"Congo, Rep.",1049.85,N/A
Colombia,1188.55,"Juan Carlos Martinez Nieto,21,101,Bronze medal;Andres Diaz Gonzales,14,135,nan;Neiyer Correal Mendoza,11,151,nan;Jaime Alberto Londono Londono,10,159,nan;Alejandro Ramirez Saldarriga,9,170,nan;Germán Rincón,3,212,nan"
Comoros,850.43,N/A
Cabo Verde,674.62,N/A
Costa Rica,1549.94,N/A
Caribbean small states,2613.34,N/A
Cuba,2441.58,"Alex Gay Cabera,25,86,Bronze medal;Jorge Luis de Armas Garcia,23,91,Bronze medal;Rene Guerra Millet,14,135,nan;Nelson Navarro Navarro,12,146,nan;Aldo Rodriguez Gonzales,5,196,nan;Luis Artiles Martinez,4,203,nan"
Curacao,,N/A
Cayman Islands,,N/A
