Country,GDP,info
Aruba,17375.23,N/A
Africa Eastern and Southern,741.06,N/A
Afghanistan,,N/A
Africa Western and Central,1078.7,N/A
Angola,454.38,N/A
Albania,1009.98,"Rezarta Islami,6,266,nan;Migen Temali,5,290,nan;Elton Skendaj,3,353,nan;Erion Plaku,1,392,nan"
Andorra,19081.55,N/A
Arab World,2348.39,N/A
United Arab Emirates,28596.51,N/A
Argentina,7690.16,"Daniel Perrucci,26,46,Silver medal;Gerardo Aguiar,15,139,Bronze medal;Alejandro Kocsard,15,139,Bronze medal;Martín Mereb,12,180,Bronze medal;Leandro Saita,7,248,nan;Dora Tilli,5,290,nan"
Armenia,484.09,"Grigori Bagdasaryan,19,102,Bronze medal;Haik Mkrtchyan,11,201,Honourable mention;Saak Petrosian,11,201,Honourable mention;Arman Melkumyan,10,216,Honourable mention;Ashot Hairapetyan,6,266,nan;Khachik Sargsyan,6,266,nan"
American Samoa,,N/A
Antigua and Barbuda,9079.48,N/A
Australia,22021.78,"Jian He,21,82,Silver medal;Brett Damien Parker,21,82,Silver medal;Alexandre Mah,15,139,Bronze medal;Daniel Ford,13,164,Bronze medal;Daniel Virgil Mathews,12,180,Bronze medal;John Dethridge,11,201,nan"
Austria,29809.08,"Florian Herzig,25,50,Silver medal;Odo Benda,7,248,nan;Georg Garnweitner,7,248,nan;Gabor Sas,6,266,nan;Veronika Petrova,5,290,nan;Stephan Sturm,4,325,nan"
Azerbaijan,409.19,"Andrey Turovskiy,8,236,Honourable mention;Goshgar Guseynov,5,290,nan;Raif Rustamov,5,290,nan;Namig Guliyev,4,325,nan;Perviz Hajiyev,3,353,nan;Aydin Aliyev,2,372,nan"
Burundi,146.54,N/A
Belgium,27489.56,"Eric Vandenbussche,17,121,Bronze medal;Jean-François Macq,15,139,Bronze medal;Grégory Soyez,15,139,Bronze medal;Tom de Medts,12,180,Bronze medal;Christophe de Cannière,11,201,nan;Bart de Vylder,5,290,nan"
Benin,380.59,N/A
Burkina Faso,243.53,N/A
Bangladesh,387.38,N/A
Bulgaria,1470.19,"Ivan Ivanov,33,14,Gold medal;Stoyan Atanassov,24,57,Silver medal;Ludmila Kamenova,21,82,Silver medal;Ivo Simeonov,20,94,Silver medal;Rayko Tchalkov,20,94,Silver medal;Dimitre Alexandrov,18,111,Bronze medal"
Bahrain,9643.31,N/A
The Bahamas,11835.39,N/A
Bosnia and Herzegovina,712.95,"Tarik Alatović,12,180,Bronze medal;Radoš Radoičić,7,248,nan;Kerim Šuruliz,7,248,nan;Vedad Letić,4,325,nan"
Belarus,1452.51,"Serguei Chikh,32,19,Gold medal;Mikhail Vronski,20,94,Silver medal;Alexei Korenev,15,139,Bronze medal;Maxim Oleinikov,15,139,Bronze medal;Ivan Lossev,11,201,Honourable mention;Vlassenko Viatcheslav,6,266,nan"
Belize,4042.15,N/A
Bermuda,44826.79,N/A
Bolivia,925.85,N/A
Brazil,5121.91,"André Arroyo Ruiz,10,216,Honourable mention;Murali Srinivasan Vajapeyan,8,236,nan;Eduardo Cabral Balreira,7,248,nan;Carlos Yuzo Shine,6,266,nan;André Luís de Souza Neves,5,290,nan"
Barbados,8994.32,N/A
Brunei Darussalam,16706.47,N/A
Bhutan,564.49,N/A
Botswana,3063.99,N/A
Central African Republic,299.62,N/A
Canada,21296.97,"Richard Hoshino,22,71,Silver medal;Derek Kisman,22,71,Silver medal;Soroosh Yazdani,22,71,Silver medal;Byung-Kyu Chun,18,111,Bronze medal;Adrian Chan,14,150,Bronze medal;Sabin Cautis,13,164,Bronze medal"
Central Europe and the Baltics,3796.5,N/A
Switzerland,48092.64,"Sylvestre Blanc,13,164,Bronze medal;Olivier Glassey,4,325,nan;Michelle Aymon,3,353,nan;Tatiana Mantuano,3,353,nan"
Channel Islands,,N/A
Chile,5376.77,"Phillipo Correa,5,290,nan;Arturo Prat,5,290,nan"
China,709.42,"Huayi Chen,32,19,Gold medal;Xuhua He,30,25,Gold medal;Jun Yan,30,25,Gold medal;Lie Wang,27,36,Silver medal;Kaihua Cai,23,62,Silver medal;Fu Liu,18,111,Bronze medal"
Ivory Coast,1220.12,N/A
Cameroon,817.18,N/A
Democratic Republic of the Congo,130.82,N/A
"Congo, Rep.",902.05,N/A
Colombia,2652.1,"Eliana Zoque,23,62,Silver medal;Javier Sánchez,6,266,nan;Carlos Humberto Caicedo,5,290,nan;Andrés Martínez,5,290,nan;Sandor Ortegón,5,290,nan;Camilo Rivera,4,325,nan"
Comoros,801.26,N/A
Cabo Verde,1192.33,N/A
Costa Rica,3194.11,N/A
Caribbean small states,3809.06,N/A
Cuba,2281.98,"Lorver Duarte Puig,16,130,Bronze medal"
Curacao,,N/A
Cayman Islands,,N/A
