Country,GDP,info
Aruba,,na
Africa Eastern and Southern,506.82,na
Afghanistan,,na
Africa Western and Central,644.34,na
Angola,758.09,na
Albania,639.87,na
Andorra,7914.87,na
Arab World,2164.53,na
United Arab Emirates,29432.83,na
Argentina,2919.28,na
Armenia,,na
American Samoa,,na
Antigua and Barbuda,3703.79,na
Australia,11441.19,"Andrew Hassell,35,7,Gold medal;John Graham,26,35,Silver medal;Alasdair Grant,20,54,Bronze medal;Shane Booth,16,83,Bronze medal;David Hogan,11,118,nan;Catherine Playoust,9,139,nan"
Austria,9172.1,"Karl Michael Göschka,17,75,Bronze medal;Michael Dimitriadis,16,83,Bronze medal;Harold Steinacker,15,93,Bronze medal;Günter Schuster,11,118,nan;Wolfgang Stöcher,11,118,nan;Ulrike Steinacker,7,156,nan"
Azerbaijan,,na
Burundi,232.41,na
Belgium,8750.82,"Philippe Alphonse,36,5,Gold medal;Claude Lion,16,83,Bronze medal;Olivier Daxhelet,4,170,nan;Bart Maximus,2,189,nan;Bart Smets,2,189,nan;Kenneth Groosman,0,205,nan"
Benin,236.61,na
Burkina Faso,194.57,na
Bangladesh,232.17,na
Bulgaria,1914.55,"Nikolai Ivanov Chavdarov,37,4,Gold medal;Vasil Borisov Daskalov,35,7,Gold medal;Ivan Kolev Dimitrov,32,15,Silver medal;Marin Ivanov Marinov,24,40,Silver medal;Zvetoslav Alipiev Petrov,23,44,Silver medal;Ivaylo Marinov Nedelchev,14,102,nan"
Bahrain,8407.16,na
The Bahamas,9436.23,na
Bosnia and Herzegovina,,na
Belarus,,na
Belize,1301.08,na
Bermuda,18269.54,na
Bolivia,842.09,na
Brazil,,"Mário Arlindo Casarin Júnior,20,54,Bronze medal;Cláudio José Morandini,18,65,Bronze medal;Ralph Costa Teixeira,13,108,nan;Domingos Augusto Ferreira Romualdo,12,112,nan;João Valberto Costa Cavalcante,10,129,nan;Ernesto Esteves Prudêncio,10,129,nan"
Barbados,5465.2,na
Brunei Darussalam,15863.26,na
Bhutan,337.01,na
Botswana,978.99,na
Central African Republic,338.75,na
Canada,14170.12,"Minh Tue Vo,28,27,Silver medal;Eric Veach,20,54,Bronze medal;Martin Piotte,18,65,Bronze medal;Frank D'Ippolito,16,83,Bronze medal;Moses Klein,15,93,Bronze medal;Giuseppe Russo,8,147,nan"
Central Europe and the Baltics,,na
Switzerland,17152.09,na
Channel Islands,,na
Chile,1437.38,na
China,294.79,"Sihao Wu,16,83,Bronze medal;Feng Wang,10,129,nan"
Ivory Coast,700.28,na
Cameroon,871.54,na
Democratic Republic of the Congo,194.13,na
"Congo, Rep.",1047.67,na
Colombia,1189.87,"Javier Pena,15,93,Bronze medal;Juan Pereira,15,93,Bronze medal;Jorge Armando Ospina,9,139,nan;Juan Guillermo Gonzalez,6,160,nan;Neiyer Correal Mendoza,5,164,nan;Jaime Annores Salcendo,4,170,nan"
Comoros,523.7,na
Cabo Verde,405.23,na
Costa Rica,1414.13,na
Caribbean small states,2707.1,na
