Country,GDP,info
Aruba,24978.22,N/A
Africa Eastern and Southern,1126.38,N/A
Afghanistan,254.12,N/A
Africa Western and Central,1000.79,N/A
Angola,1900.72,N/A
Albania,2673.79,"Gjergji Zaimi,28,72,Silver medal;Ilirjan Aliaj,9,277,Honourable mention;Ersilio Tushaj,3,368,nan;Keler Marku,2,396,nan;Iris Aliaj,1,445,nan;Erion Dula,1,445,nan"
Andorra,39583.93,N/A
Arab World,4070.89,N/A
United Arab Emirates,42190.55,N/A
Argentina,5086.63,"Germán Gieczewski,23,114,Silver medal;Gabriel Carvajal,16,191,Bronze medal;Ignacio Agustín Rossi,15,207,Bronze medal;Maximiliano Camporino,6,328,nan;Nicolás Romero,3,368,nan;Tomás Ibarlucía,2,396,nan"
Armenia,1608.16,"Nerses Aramyan,18,156,Bronze medal;Vahe Musoyan,17,175,Bronze medal;Khachik Badeyan,15,207,Bronze medal;Armen Nurbekyan,14,225,Bronze medal;Tigran Sloyan,13,238,Bronze medal;Arman Darbinyan,5,341,nan"
American Samoa,8733.01,N/A
Antigua and Barbuda,12808.01,N/A
Australia,34479.77,"Kim Ramchen,22,122,Bronze medal;Graham White,21,131,Bronze medal;Vinoth Nandakumar,20,139,Bronze medal;Samuel Chow,19,144,Bronze medal;Stephen Muirhead,19,144,Bronze medal;Konrad Pilch,16,191,Bronze medal"
Austria,38417.46,"Thomas Takacs,19,144,Bronze medal;Michael Moßhammer,17,175,Bronze medal;Bernhard Kiniger,11,249,Honourable mention;Peter Gila,10,261,Honourable mention;Jakob Preininger,9,277,Honourable mention;Yimin Ge,8,296,nan"
Azerbaijan,1578.37,"Tural Amirov,19,144,Bronze medal;Farhad Aghayev,15,207,Bronze medal;Jafar Jafarov,8,296,Honourable mention;Khalil Nasirov,8,296,Honourable mention;Tarlan Nazarov,8,296,Honourable mention;Asgar Javadov,1,445,nan"
Burundi,151.19,N/A
Belgium,36809.7,"Guolong Li,26,93,Silver medal;François Gonze,19,144,Bronze medal;Maarten de Boeck,8,296,Honourable mention;Stijn Vermeeren,8,296,Honourable mention;David Frenay,7,322,nan;François Crucifix,6,328,nan"
Benin,805.9,N/A
Burkina Faso,442.94,N/A
Bangladesh,492.81,"Syed Mostafa Tahsin,2,396,nan;Md. Mahbubul Hasan,1,445,nan;Rafatul Faria,0,486,nan;Shahriar Rouf,0,486,nan;Sabrina Tabassum,0,486,nan;Md. Tahmid-Ul-Islam Rafi,0,486,nan"
Bulgaria,3899.83,"Rosen Dimitrov Kralev,42,1,Gold medal;Aleksandar Dimitrov Lishkov,35,35,Gold medal;Tzvetelina Kirilova Tzeneva,28,72,Silver medal;Vesselin Atanasov Dimitrov,27,89,Silver medal;Ivan Dimitrov Dimitrov,25,100,Silver medal;Dimitar Nedelchev Simeonov,16,191,Bronze medal"
Bahrain,17705.24,N/A
The Bahamas,28280.87,N/A
Bosnia and Herzegovina,2741.08,"Igor Uljarević,17,175,Bronze medal;Igor Ninković,14,225,Bronze medal;Jasna Vilić,11,249,Honourable mention;Momčilo Kovač,4,356,nan;Milenko Milićević,2,396,nan;Edin Bošković,1,445,nan"
Belarus,3126.07,"Aliaksei Levin,42,1,Gold medal;Mikhail Blotski,26,93,Silver medal;Ruslan Maksimau,24,108,Silver medal;Ivan Bliznets,23,114,Silver medal;Yauheni Larchyk,19,144,Bronze medal;Uladzimir Yahorau,2,396,nan"
Belize,5236.37,N/A
Bermuda,75882.03,N/A
Bolivia,1018.31,"Omar Chávez Cussy,0,486,nan;Samuel Torrez Carvajal,0,486,nan"
Brazil,4773.27,"Gabriel Tavares Bujokas,37,23,Gold medal;Thomás Yoiti Sasaki Hoshina,14,225,Bronze medal;Guilherme Rodrigues Nogueira de Souza,10,261,Honourable mention;Leandro Farias Maia,9,277,Honourable mention;Edson Bezerra Lopes,6,328,nan;Levi Máximo Viana,6,328,nan"
Barbados,14173.75,N/A
Brunei Darussalam,25991.21,N/A
Bhutan,1201.43,N/A
Botswana,5240.32,N/A
Central African Republic,317.88,N/A
Canada,36382.51,"Yufei Zhao,35,35,Gold medal;Yang (Richard) Peng,28,72,Silver medal;Peng Shi,25,100,Silver medal;Elyot Jameson Lester Grant,20,139,Bronze medal;Dong Uk (David) Rhee,18,156,Bronze medal;Lin Fei,6,328,nan"
Central Europe and the Baltics,8355.87,N/A
Switzerland,56242.89,"Markus Sprecher,27,89,Silver medal;Simon Schuler,15,207,Bronze medal;Volodymyr Serbinenko,10,261,Honourable mention;Simon David Hasenfratz,8,296,Honourable mention;Federico Cesar Sequeda Sanclemente,8,296,Honourable mention;Le Thanh Tu Nguyen,2,396,nan"
Channel Islands,58550.66,N/A
Chile,7560.54,N/A
China,1753.41,"Hangsheng Diao,42,1,Gold medal;Ye Luo,42,1,Gold medal;Qingchun Ren,42,1,Gold medal;Xuancheng Shao,42,1,Gold medal;Jiayin Kang,35,35,Gold medal;Tongyuan Zhao,32,47,Silver medal"
Ivory Coast,1267.09,N/A
Cameroon,1129.36,N/A
Democratic Republic of the Congo,211.57,N/A
"Congo, Rep.",1810.59,N/A
Colombia,3448.54,"Pascual Restrepo Mesa,31,53,Silver medal;Esteban González Morales,29,65,Silver medal;José Gabriel Acevedo Habeych,18,156,Bronze medal;Daniel Blandón Restrepo,16,191,Bronze medal;Miguel Moreno Wandurraga,9,277,nan;David Quinche Gómez,2,396,nan"
Comoros,1103.2,N/A
Cabo Verde,1972.78,N/A
Costa Rica,4643.46,"Juan Alberto Vargas Mesén,11,249,Honourable mention;Daniel Campos Salas,10,261,Honourable mention;José Fabio Gómez Rodríguez,8,296,nan;Eythan Familier Cukier,5,341,nan;Christian Zamora Jaen,2,396,nan;Andrés Alonso Segura Medina,1,445,nan"
Caribbean small states,7249.39,N/A
Cuba,3791.87,"Alvaro Javier Fuentes Suárez,17,175,Bronze medal;Gerandy Brito Montes de Oca,16,191,Bronze medal;Edel Pérez Castillo,13,238,Bronze medal;Abdel Alberto García Mola,8,296,Honourable mention"
Curacao,,N/A
Cayman Islands,,N/A
Cyprus,24959.26,"Markos Charalambides,10,261,Honourable mention;Anastasia Solea,2,396,nan;Marinos Efthymiou,1,445,nan;Achilleas Kryftis,1,445,nan;Andreas Mavrommatis,0,486,nan;Theodosios Mourouzis,0,486,nan"
Czechia,13430.67,N/A
Germany,34520.24,"Peter Scholze,42,1,Gold medal;Christian Sattler,31,53,Silver medal;Darij Grinberg,28,72,Silver medal;Daniel Harrer,23,114,Silver medal;Georg Schönherr,21,131,Bronze medal;Christopher Wulff,18,156,Bronze medal"
Djibouti,852.89,N/A
Dominica,5304.13,N/A
Denmark,48799.83,"Martin Wedel Jacobsen,18,156,Bronze medal;Eske Sparsø,17,175,Bronze medal;Sune Nikolaj Precht Reeh,14,225,Bronze medal;Morten Kjær Poulsen,13,238,Bronze medal;Drees Noes Andersen,5,341,nan;Mikkel Abrahamsen,2,396,nan"
Dominican Republic,3903.82,N/A
Algeria,3131.33,N/A
Ecuador,3014.31,"Fernando Daniel Gómez Sánchez,14,225,Bronze medal;Carlos Andrés González Aguilar,1,445,nan;Julio Armando Rivera Dumani,1,445,nan;David Leonardo Barzallo Correa,1,445,nan;Georges Benjamin Flament Jordan,0,486,nan;Gabriela Paola Salcán Reyes,0,486,nan"
Egypt,1133.11,N/A
Eritrea,387.9,N/A
Spain,26429.15,"Elisa Lorenzo García,17,175,Bronze medal;Hugo Fernández Hervás,9,277,Honourable mention;Javier de la Nuez González,8,296,Honourable mention;Marc Viñals Pérez,5,341,nan;Pau Labarta Bajo,4,356,nan;Miguel Teixidó Román,3,368,nan"
Estonia,10412.64,"Juhan Aru,21,131,Bronze medal;Laur Tooming,21,131,Bronze medal;Jaan Vajakas,15,207,Bronze medal;Aleksei Vlassov,5,341,nan;Karel Aru,4,356,nan;Igor Petšonkin,2,396,nan"
Ethiopia,160.08,N/A
European Union,27341.73,N/A
Finland,39054.85,"Sebastian Dumitrescu,18,156,Bronze medal;Ville Pettersson,15,207,Bronze medal;Eemeli Blåsten,8,296,nan;Janne Kokkala,6,328,nan;Samu Alanko,2,396,nan;Esa Vesalainen,0,486,nan"
Fiji,3406.48,N/A
France,34768.18,"Bruno Le Floch,18,156,Bronze medal;Irène Marcovici,17,175,Bronze medal;Igor Kortchemski,15,207,Bronze medal;Ilia Smilga,13,238,Bronze medal;Laurent Deproit,10,261,Honourable mention;Kevin Webster,10,261,Honourable mention"
Faroe Islands,36440.32,N/A
"Micronesia, Fed. Sts.",2256.01,N/A
Gabon,6570.96,N/A
United Kingdom,42104.79,"Martin Orr,35,35,Gold medal;Nathan Kettle,33,46,Silver medal;Ju Lui Andre Kueh,32,47,Silver medal;Matthew Lee,23,114,Silver medal;Saul Glasman,20,139,Bronze medal;Jack Shotton,16,191,Bronze medal"
Georgia,1642.78,"Aleksandre Lomadze,17,175,Bronze medal;Irakli Merabishvili,16,191,Bronze medal;Zviad Metreveli,16,191,Bronze medal;Giorgi Mariamidze,14,225,Bronze medal;David Tsirekidze,11,249,Honourable mention;Otar Chitaia,6,328,nan"
Ghana,477.6,N/A
Gibraltar,,N/A
Guinea,321.34,N/A
"Gambia, The",618.96,N/A
Guinea-Bissau,425.47,N/A
Equatorial Guinea,9502.86,N/A
Greece,22560.15,"Theodosios Douvropoulos,18,156,Bronze medal;Eleftherios Tsiokos,18,156,Bronze medal;Marios Papamichalis,8,296,Honourable mention;Theofanis Papamichalis,6,328,nan;Fragkiskos Koufogiannis,5,341,nan;Ioannis Panageas,3,368,nan"
Grenada,6308.67,N/A
Greenland,32489.73,N/A
