Country,GDP,info
Aruba,,na
Africa Eastern and Southern,625.47,na
Afghanistan,,na
Africa Western and Central,649.03,na
Angola,637.9,na
Albania,639.48,na
Andorra,7825.16,na
Arab World,2264.59,na
United Arab Emirates,31955.18,na
Argentina,3787.47,na
Armenia,,na
American Samoa,,na
Antigua and Barbuda,3187.98,na
Australia,12421.47,"Michael Peake,33,29,Silver medal;Alan Blair,25,50,Bronze medal;Matthew Hardman,21,69,Bronze medal;Jonathon Ennis,16,99,nan;Andrew Jenkins,6,151,nan;John Kramer,2,173,nan"
Austria,8991.07,"Michael Ulm,28,39,Silver medal;Stefan Kiechl,19,82,Bronze medal;Helmut Kahlbacher,18,89,Bronze medal;Johannes Grassberger,12,118,nan;Karl Michael Göschka,10,133,nan;Peter Grabner,10,133,nan"
Azerbaijan,,na
Burundi,203.86,na
Belgium,8457.27,"Michel Lesoinne,20,76,Bronze medal;Philippe Alphonse,16,99,nan;Frédéric van der Plancke,15,104,nan;J. Secru,4,160,nan;Ch. Tersago,1,179,nan;C. Rombouts,0,183,nan"
Benin,244.84,na
Burkina Faso,188.34,na
Bangladesh,202.29,na
Bulgaria,1963.57,"Diko B. Mihov,42,1,Gold medal;Vasil Borisov Daskalov,41,9,Gold medal;Pavel Tadeev Glasnov,37,17,Silver medal;Nikolai Ivanov Chavdarov,35,21,Silver medal;Ivan Kolev Dimitrov,28,39,Silver medal;Marin Ivanov Marinov,20,76,Bronze medal"
Bahrain,9316.38,na
The Bahamas,8463.46,na
Bosnia and Herzegovina,,na
Belarus,,na
Belize,1342.23,na
Bermuda,17469.83,na
Bolivia,986.78,na
Brazil,,"Alberto Maçaaki Utsumi,21,21,Bronze medal;Cláudio de Carvalho Chamon,20,76,Bronze medal;Cláudio José Morandini,20,76,Bronze medal;Romildo Gonçalves Valente,16,99,nan;André Hiroshi Hayashi Alves,11,123,nan;Carlos Eduardo Rodrigues Alves,4,160,nan"
Barbados,5235.13,na
Brunei Darussalam,17619.33,na
Bhutan,341.21,na
Botswana,1128.87,na
Central African Republic,252.75,na
Canada,13930.47,"Martin Piotte,21,69,Bronze medal;Mike Molloy,16,99,nan;Mike Bradley,15,104,nan;Minh Tue Vo,15,104,nan;Frank D'Ippolito,12,118,nan;Lily Yen,4,160,nan"
Central Europe and the Baltics,,na
Switzerland,16991.25,na
Channel Islands,,na
Chile,1619.37,na
China,302.59,na
Ivory Coast,711.09,na
Cameroon,768.98,na
Democratic Republic of the Congo,316.64,na
"Congo, Rep.",1095.84,na
Colombia,1333.37,"Juan Pereira,23,58,Bronze medal;Javier Pena,19,82,Bronze medal;E. Arrieta,12,118,nan;I. E. Ibanez,11,123,nan;José Munoz,9,139,nan;Wilmar Ariza,6,151,nan"
Comoros,505.1,na
Cabo Verde,393.53,na
Costa Rica,1357.64,na
Caribbean small states,2762.38,na
Cuba,2388.29,"A. Torres Montoya,17,96,Bronze medal;J. R. Presa Sague,16,99,nan;M. T. Alzugaray Rodriguez,12,118,nan;M. Perera Chang,11,123,nan;Karel Roiz Wilson,8,144,nan;Daniel Alfaro Vigo,3,166,nan"
Curacao,,na
Cayman Islands,,na
Cyprus,4258.74,"Petros Hadjicostas,21,69,Bronze medal;Adonis Ioannides,11,123,nan;Pavlos Neophytou,7,147,nan;Pavlos Christodoulides,4,160,nan;Aris Neophytou,2,173,nan;Savvas Sideras,2,173,nan"
Czechia,,na
Germany,9313.17,"Karin Gröger,42,1,Gold medal;Bernhard Leeb,38,15,Silver medal;Arnd Rösch,35,21,Silver medal;Arnfried Gebhardt,30,35,Silver medal;Ingo Witt,27,44,Silver medal;Colin Stahlke,24,53,Bronze medal;Hagen von Eitzen,23,58,Bronze medal;Jörg Stahnke,21,69,Bronze medal;Alexander Schmidt,19,82,Bronze medal;Eckhard Müller,18,89,Bronze medal;Oliver Geupel,17,96,Bronze medal;Andreas Wacker,17,96,Bronze medal"
Djibouti,,na
Dominica,1517.42,na
Denmark,11562.92,na
Dominican Republic,1845.56,na
Algeria,2510.04,"K. Makhloufi,14,110,nan;M. Ziane,11,123,nan;R. Bouckkeine,8,144,nan;A. Kihel,3,166,nan"
Ecuador,1874.38,na
Egypt,697.9,na
Eritrea,,na
Spain,4489.99,"Miguel Aparisi Botella,11,123,nan;Pablo Novaes Ledieu,10,133,nan;Andrés García Parilla,9,139,nan;Miguel Brandt Sanz,7,147,nan;A. Tejera Gómez,5,156,nan;G. Génova Fuster,1,179,nan"
Estonia,,na
Ethiopia,206.52,na
European Union,6304.86,na
Finland,10833.87,"Jussi Rahola,11,123,nan;Pekka Pitkänen,10,133,nan;Kai Vuorilehto,4,160,nan;Miikka Heinäsmäki,3,166,nan;Jarno Varteva,3,166,nan;Elmar Paananen,0,183,nan"
Fiji,1657.85,na
France,9430.07,"Alexis Bonnet,32,30,Silver medal;Laurent Lafforgue,27,44,Silver medal;E. Sere,22,63,Bronze medal;Thierry Bousch,19,82,Bronze medal;Patrice Sauvalle,15,104,nan;I. Castin,11,123,nan"
Faroe Islands,9438.55,na
"Micronesia, Fed. Sts.",,na
Gabon,4273.31,na
United Kingdom,8179.19,"Paul Nevile Balister,40,9,Gold medal;Richard Swarup Biswas,31,31,Silver medal;Marcus George Moore,31,31,Silver medal;Matthew John Richards,29,38,Silver medal;Ian David Bede Stark,22,63,Bronze medal;Michael Corin Harrison,15,104,nan"
Georgia,,na
Ghana,330.69,na
Gibraltar,,na
Guinea,,na
"Gambia, The",215.01,na
Guinea-Bissau,156.26,na
Equatorial Guinea,140.56,na
Greece,4852.57,"A. Melas,31,31,Silver medal;Ch. Vazouras,15,104,nan;L. Polymenakos,14,110,nan;T. Apostolatos,11,123,nan;E. Panigirakis,10,133,nan;I. Korinthios,7,147,nan"
Grenada,1460.91,na
Greenland,7198.71,na
Guatemala,1234.7,na
Guam,,na
Guyana,563.95,na
High income,9876.6,na
"Hong Kong SAR, China",6208.23,na
Honduras,1153.31,na
Heavily indebted poor countries (HIPC),345.33,na
Croatia,,na
Haiti,296.77,na
Hungary,,"Miklós Mócsy,40,12,Gold medal;Gábor Megyesi,37,17,Silver medal;Zoltán Szabó,35,21,Silver medal;Géza Kós,34,25,Silver medal;Ákos Magyar,28,39,Silver medal;László Erdős,21,69,Bronze medal"
IBRD only,899.48,na
IDA & IBRD total,806.58,na
IDA total,411.23,na
IDA blend,610.02,na
Indonesia,522.72,na
IDA only,313.07,na
Isle of Man,,na
India,278.1,na
Not classified,,na
Ireland,5692.03,na
Iran,3556.49,na
Iraq,3052.5,na
Iceland,11959.54,na
Israel,,na
Italy,7739.72,"M. Chilla,0,183,nan;S. Garuglieri,0,183,nan;R. Gianferri,0,183,nan;D. Perret,0,183,nan;D. Ponti,0,183,nan;F. Riccardi,0,183,nan"
Jamaica,1048.35,na
Jordan,1888.7,na
Japan,11207.45,na
Kazakhstan,,na
Kenya,330.15,na
Kyrgyz Republic,,na
Cambodia,,na
Kiribati,644.69,na
St. Kitts and Nevis,2326.66,na
South Korea,2413.28,na
Kuwait,11962.65,"H. M. S. A. Ahmad,5,156,nan;M. H. M. S. Al-Shayeri,2,173,nan;K. J. Sh. Al-Amiri,1,179,nan;H. E. A. A. Nakhi,1,179,nan;F. F. M. S. Al-Hajeri,0,183,nan;J. A. J. Quaddoumi,0,183,nan"
Lao PDR,482.74,na
Lebanon,,na
Liberia,,na
Libya,,na
St. Lucia,1925.22,na
Latin America & Caribbean,,na
Sri Lanka,380.75,na
Lesotho,211.77,na
Late-demographic dividend,931.37,na
Lithuania,,na
Latvia,,na
"Macao SAR, China",4715.85,na
St. Martin (French part),,na
Morocco,675.02,"Youssef Islah,19,82,Bronze medal;A. Azaou,13,114,nan;A. Saadi,10,133,nan;N. Adrou Bakkali,6,151,nan;Khalil Benhssein,5,156,nan;A. Eddahir,3,166,nan"
Moldova,,na
Madagascar,390.01,na
Maldives,593.88,na
Middle East & North Africa,3016.31,na
Mexico,2506.89,na
Marshall Islands,1205.87,na
Middle income,805.74,na
North Macedonia,,na
Mali,153.54,na
Malta,3332.89,na
Myanmar,36.06,na
Middle East & North Africa (excluding high income),1915.6,na
Montenegro,,na
Mongolia,1121.33,"D. Tubshinjargal,36,20,Silver medal;R. Batdelger,34,25,Silver medal;B. Munhtur,31,31,Silver medal;C. Enhbold,18,89,Bronze medal;L. Ganbold,18,89,Bronze medal;J. Buinnemeh,9,139,nan"
Northern Mariana Islands,,na
Mozambique,,na
Mauritania,633.6,na
Mauritius,1027.99,na
Malawi,239.55,na
Malaysia,2311.17,na
North America,16808.84,na
Namibia,1837.35,na
New Caledonia,5249.36,na
Niger,209.53,na
Nigeria,903.45,na
Nicaragua,,na
Netherlands,9977.16,"Jan de Boer,26,47,Silver medal;Bart de Smit,22,63,Bronze medal;Hans van Antwerpen,19,82,Bronze medal;Menke Ubbens,14,110,nan;Harold de Boer,7,147,nan;Wiebe Kees Goodijk,5,156,nan"
Norway,14989.49,"John Rognes,24,53,Bronze medal"
Nepal,150.58,na
Nauru,,na
New Zealand,6713.76,na
OECD members,9124.14,na
Oman,6927.98,na
Other small states,2211.12,na
