Country,GDP,info
Aruba,17140.43,N/A
Africa Eastern and Southern,766.17,N/A
Afghanistan,,N/A
Africa Western and Central,872.07,N/A
Angola,398.12,N/A
Albania,750.6,N/A
Andorra,18731.65,N/A
Arab World,2208.13,N/A
United Arab Emirates,27010.68,N/A
Argentina,7383.7,"Matilde Lalin,30,82,Silver medal;Martín Avendaño,29,90,Silver medal;Santiago Laplagne,21,166,Bronze medal;German Zorba,21,166,Bronze medal;Leandro Saita,17,210,Honourable mention;Flavia Bonomo,11,285,nan"
Armenia,441.89,"Vahe Poladian,34,54,Silver medal;Vardgues Levonian,31,73,Silver medal;Nansen Petrossian,26,132,Bronze medal;Sahack Petrossian,18,202,Honourable mention;Arman Antaranian,2,381,nan;Haik Grigorian,0,406,nan"
American Samoa,,N/A
Antigua and Barbuda,8440.03,N/A
Australia,20448.12,"Jian He,32,66,Silver medal;Nigel Tao,27,114,Bronze medal;Trevor Tao,27,114,Bronze medal;Zhi Ren (Herbert) Xu,21,166,Bronze medal;Gordon Deane,20,182,Bronze medal;Christopher Barber,18,202,Honourable mention"
Austria,30325.85,"Florian Herzig,27,114,Bronze medal;Oliver Pfeiffer,18,202,Honourable mention;Hans Drauschke,16,222,Honourable mention;Odo Benda,12,278,Honourable mention;Tobias Krenn,9,306,nan;Thomas Kroyer,6,337,nan"
Azerbaijan,314.56,"Raif Rustamov,14,245,Honourable mention;Coshkar Couseinov,8,316,nan;Seidli Elnur,8,316,nan"
Burundi,168.63,N/A
Belgium,28413.83,"Tom de Medts,20,182,Bronze medal;Alexandre Dandoy,18,202,Honourable mention;Bert Seynaeve,17,210,Honourable mention;Jacques Theys,17,210,Honourable mention;Sebastien Leroy,10,291,Honourable mention;Christophe Lermytte,1,395,nan"
Benin,358.82,N/A
Burkina Faso,229.83,N/A
Bangladesh,322.09,N/A
Bulgaria,2259.26,"Nikolay Nikolov,42,1,Gold medal;Detelin Dossev,35,36,Silver medal;Grigor Grigorov,35,36,Silver medal;Vladimir Tchalkov,34,54,Silver medal;Todor Milanov,33,61,Silver medal;Ivo Nikolov,28,102,Bronze medal"
Bahrain,9543.39,N/A
The Bahamas,11447.02,N/A
Bosnia and Herzegovina,497.68,"Radoš Radoičić,7,329,nan;Zenan Šabanac,4,359,nan;Tarik Kabil,3,370,nan;Katarina Blagović,2,381,nan;Anur Hrustemović,1,395,nan;Vedad Pašić,1,395,nan"
Belarus,1370.48,"Sergei Shikh,30,82,Silver medal;Andrei Yadrentsev,27,114,Bronze medal;Maxim Oleinikov,21,166,Bronze medal;Artem Shvorin,19,193,Bronze medal;Anatoli Karolik,17,210,Honourable mention;Mikhail Vronski,17,210,Honourable mention"
Belize,4011.14,N/A
Bermuda,33989.72,N/A
Bolivia,856.37,N/A
Brazil,4704.96,"Artur Ávila Cordeiro de Melo,37,23,Gold medal;Fernando Antonio de Araújo Carneiro,14,245,Honourable mention;Breno de Alencar Araripe Falcão,11,285,Honourable mention;André Luís de Souza Neves,10,291,nan;Davi Ponciano Araújo Lima,9,306,Honourable mention;André Reys Leal,5,349,nan"
Barbados,8451.96,N/A
Brunei Darussalam,15827.99,N/A
Bhutan,550.66,N/A
Botswana,3064.59,N/A
Central African Republic,340.4,N/A
Canada,20679.63,"Cyrus Hsia Chen,35,36,Silver medal;Frédéric Latour,31,73,Silver medal;Donny Cheung,25,137,Bronze medal;Byung-Kyu Chun,25,137,Bronze medal;Alyssa Ker,19,193,Bronze medal;Lawrence Tang,18,202,Honourable mention"
Central Europe and the Baltics,3580.95,N/A
Switzerland,50113.83,"Markus Muller,35,36,Silver medal;Christian Wuthrich,30,82,Silver medal;Nicolas Bartholdi,15,230,Honourable mention;Roman Schmied,15,230,Honourable mention;Otto Martin Slama,2,381,nan"
Channel Islands,,N/A
Chile,5094.39,"Milton Jara,9,306,Honourable mention;Ivan Nieto,5,349,nan"
China,609.6,"Cheng Chang,42,1,Gold medal;Song Liu,42,1,Gold medal;Chenchang Zhu,42,1,Gold medal;Haidong Wang,38,20,Gold medal;Yizhou Lin,36,31,Silver medal;Yijun Yao,36,31,Silver medal"
Ivory Coast,769.26,N/A
Cameroon,822.36,N/A
Democratic Republic of the Congo,130.38,N/A
"Congo, Rep.",771.61,N/A
Colombia,2571.47,"Carlos Alberto Vargas Cruz,29,90,Silver medal;Sandor Ortegón,21,166,Bronze medal;Eliana Zoque,19,193,Bronze medal;Carlos Humberto Caicedo,13,263,Honourable mention;Carlos Humberto Torres Ardila,10,291,nan;Javier Sánchez,8,316,Honourable mention"
Comoros,823.68,N/A
Cabo Verde,1184.18,N/A
Costa Rica,3240.71,N/A
Caribbean small states,3523.82,N/A
Cuba,2784.9,"Lorver Duarte Puig,17,210,Honourable mention;Walter Carballosa Torres,16,222,Honourable mention;Alexander Alvarez Hernandez,16,222,nan;Héctor Antonio Mesa Barrameda,10,291,nan"
Curacao,,N/A
Cayman Islands,,N/A
Cyprus,15261.41,"Andreas Stylianides,13,263,Honourable mention;Ernestos Panayiotou,11,285,Honourable mention;Adonis Antoniades,8,316,Honourable mention;Ioannis Zachariou,6,337,nan;Athina Papaphilipou,3,370,nan;Andreas Georgiou,2,381,nan"
Czechia,5824.12,N/A
