Country,GDP
Aruba,16675.2784883673
Africa Eastern and Southern,700.189236398524
Afghanistan,
Africa Western and Central,579.701871998197
Angola,329.691784054774
Albania,586.416135130865
Andorra,16670.9384281796
Arab World,2130.99954893414
United Arab Emirates,25463.4962885063
Argentina,7464.4747368819
Armenia,389.825286464953
American Samoa,
Antigua and Barbuda,8788.01332343794
Australia,18129.4021863239
Austria,25646.7006591684
Azerbaijan,157.063549947072
Burundi,165.585934674604
Belgium,24208.5547931447
Benin,269.790586928328
Burkina Faso,187.815137887201
Bangladesh,292.078819525013
Bulgaria,1148.4943993817
Bahrain,9384.77188092589
The Bahamas,11085.1471273516
Bosnia and Herzegovina,333.783179342536
Belarus,1462.02861363291
Belize,3878.96898174086
Bermuda,31476.0637221848
Bolivia,777.416035935178
Brazil,3393.14292559822
Barbados,8220.27611002786
Brunei Darussalam,14000.4460543458
Bhutan,496.786072302753
Botswana,2832.81340895659
Central African Republic,267.00627658748
Canada,19997.6237373354
Central Europe and the Baltics,2826.65513088608
Switzerland,43091.7770970073
Channel Islands,
Chile,4010.97099497656
China,473.489916407064
Ivory Coast,602.331970049791
Cameroon,692.858733495909
Democratic Republic of the Congo,140.211933302015
"Congo, Rep.",662.877334123082
Colombia,2314.9009901463
Comoros,674.137307869931
Cabo Verde,1012.26339104589
Costa Rica,3005.54031698606
Caribbean small states,3226.47208315553
Cuba,2613.00503947034
Curacao,
Cayman Islands,
Cyprus,11617.6923828125
Czechia,4630.55121674353
Germany,27076.60675014
Djibouti,788.624473308358
Dominica,3820.54501682237
Denmark,29995.5796235479
Dominican Republic,1896.02016271473
Algeria,1522.82520284828
Ecuador,2001.17815885333
Egypt,826.718967131504
Eritrea,260.312514902478
Spain,13415.2870010456
Estonia,
Ethiopia,124.558149636587
European Union,16835.4724645179
Finland,20301.333085866
Fiji,2308.70658374683
France,23496.367675721
Faroe Islands,17192.8843355503
"Micronesia, Fed. Sts.",1860.46084304142
Gabon,3832.0932618843
United Kingdom,19709.2380983653
Georgia,519.857581188288
Ghana,319.607440259183
Gibraltar,
Guinea,465.855217972152
"Gambia, The",619.043946174633
Guinea-Bissau,216.241159509192
Equatorial Guinea,186.682399998879
Greece,11091.2838472779
Grenada,3151.10216541779
Greenland,18124.0998075763
Guatemala,1293.46997304183
Guam,
Guyana,721.603389519806
High income,22096.4392802494
"Hong Kong SAR, China",22502.5302426236
Honduras,821.216147604504
Heavily indebted poor countries (HIPC),290.502732970754
Croatia,
Haiti,289.546185729423
Hungary,4173.37302405441
IBRD only,1186.38901217204
IDA & IBRD total,1031.99375837525
IDA total,441.675705759694
IDA blend,568.526389896296
Indonesia,907.471785731365
IDA only,379.420797895855
Isle of Man,
India,346.227393115934
Not classified,
Ireland,15902.9296755168
Iran,1197.64214617436
Iraq,197.122426551766
Iceland,24018.6313967189
Israel,
Italy,19337.6308996383
Jamaica,2194.91122109026
Jordan,1457.70313219387
Japan,39933.5150564874
Kazakhstan,1316.18362895297
Kenya,273.521794812193
Kyrgyz Republic,372.307810016831
Cambodia,262.44289487821
Kiribati,683.177293085421
St. Kitts and Nevis,7027.43409107543
South Korea,10385.3904572997
Kuwait,15141.3033883149
Lao PDR,321.052911348254
Lebanon,2468.81984056547
Liberia,
Libya,6164.34127563338
St. Lucia,4740.29598437646
Latin America & Caribbean,3828.91811244129
Sri Lanka,650.553561544198
Lesotho,459.662744397155
Late-demographic dividend,1268.62968024665
Lithuania,
Latvia,
"Macao SAR, China",16233.4071025555
St. Martin (French part),
Morocco,1348.5390625
Moldova,
Madagascar,262.146127757289
Maldives,1411.6317228578
Middle East & North Africa,2425.90069055199
Mexico,6268.71832284995
Marshall Islands,2168.35874799358
Middle income,1032.08944315993
North Macedonia,1795.55311637563
Mali,214.362645527546
Malta,8000.51800452232
Myanmar,104.689651518213
Middle East & North Africa (excluding high income),1361.07677533103
Montenegro,
Mongolia,402.265074762866
Northern Mariana Islands,
Mozambique,198.359375173423
Mauritania,840.050239918469
Mauritius,3197.33689838825
Malawi,169.749198667115
Malaysia,3802.10762079454
North America,26931.6393144953
Namibia,2352.66186421828
New Caledonia,16037.0292949533
Niger,204.149587142922
Nigeria,762.398733247892
Nicaragua,835.236315157984
Netherlands,24646.3143096269
Norway,29315.8092337732
Nepal,186.594263462982
Nauru,
New Zealand,15280.3127842922
OECD members,20332.6334239675
Oman,6054.74388400155
Other small states,3171.13251620406
Pakistan,404.606867366467
Panama,3518.953402082
Peru,1871.3921088991
Philippines,1081.43430701202
Palau,
Papua New Guinea,1236.11058389273
Poland,2874.83163555069
Pre-demographic dividend,395.458551392684
Puerto Rico,10876.4188239898
"Korea, Dem. People's Rep.",
Portugal,9977.31990905771
Paraguay,1750.93547791783
West Bank and Gaza,1201.58154213882
Pacific island small states,1831.89030264245
Post-demographic dividend,22751.5681546446
French Polynesia,16145.8691861118
Qatar,14728.7820222192
Romania,1323.03237766927
Russia,2662.10400390625
Rwanda,111.937304240527
Saudi Arabia,7359.44849822227
Sudan,459.440063476563
Senegal,598.14541879462
Singapore,21552.4100366948
Solomon Islands,1105.16180922785
Sierra Leone,211.338563985166
El Salvador,1348.90791173359
San Marino,
Somalia,
Serbia,
Sub-Saharan Africa (excluding high income),649.459180278926
South Sudan,
Sub-Saharan Africa,650.282597124592
Small states,3089.76630653126
Sao Tome and Principe,
Suriname,1419.5179377548
Slovak Republic,3771.35951578288
Slovenia,
Sweden,26083.6143874838
Eswatini,1488.14007888789
Sint Maarten (Dutch part),
Seychelles,6974.86770636796
Syrian Arab Republic,3238.39401956611
Turks and Caicos Islands,
Chad,178.953180817304
Togo,240.097114406463
Thailand,2502.70864924099
Tajikistan,262.236435451774
Turkmenistan,619.626631559304
Timor-Leste,
Tonga,1965.19624002777
Trinidad and Tobago,3801.46954841045
Tunisia,1709.82535477584
Turkiye,2240.60879008605
Tuvalu,1138.94921878527
Tanzania,156.789611816406
Uganda,198.282051318712
Ukraine,1012.09869384766
Upper middle income,1514.22729254919
Uruguay,5478.02200222631
United States of America,27694.853416234
Uzbekistan,576.447110453392
St. Vincent and the Grenadines,2540.16917992204
"Venezuela, RB",2699.46478800824
British Virgin Islands,
Virgin Islands (U.S.),
Viet Nam,224.637094521393
Vanuatu,1403.10579665277
Samoa,1277.23377164919
Kosovo,
"Yemen, Rep.",1801.52868913551
South Africa,3547.95174828899
Zambia,431.521472403875
Zimbabwe,634.58261723387
