Country,GDP
Aruba,14970.1523419526
Africa Eastern and Southern,710.176420891463
Afghanistan,
Africa Western and Central,571.882781415829
Angola,466.679163401304
Albania,367.279225077581
Andorra,17024.313169747
Arab World,2054.96522392859
United Arab Emirates,25019.372357889
Argentina,6957.41749889251
Armenia,347.466463257033
American Samoa,
Antigua and Barbuda,8129.14412118471
Australia,17699.5577392784
Austria,24081.5277928004
Azerbaijan,209.530954548425
Burundi,168.964075594911
Belgium,22283.9360213551
Benin,398.613027305189
Burkina Faso,325.153666535396
Bangladesh,292.425347405186
Bulgaria,1278.52511370319
Bahrain,9063.5653849584
The Bahamas,10730.0009716689
Bosnia and Herzegovina,
Belarus,1603.33885142339
Belize,3862.5520289618
Bermuda,30900.6942794093
Bolivia,760.117681773986
Brazil,2766.34559631791
Barbados,7905.67680238599
Brunei Darussalam,14420.588524749
Bhutan,433.865602811431
Botswana,2844.99574953442
Central African Republic,413.959476683615
Canada,20186.7988782965
Central Europe and the Baltics,2491.37500730953
Switzerland,39237.1186558781
Channel Islands,
Chile,3520.93295523886
China,525.365692365863
Ivory Coast,829.482476754784
Cameroon,1295.91646396787
Democratic Republic of the Congo,272.050793055348
"Congo, Rep.",1034.75319375758
Colombia,1920.39896596567
Comoros,977.474380602119
Cabo Verde,1251.86634728505
Costa Rica,2814.04454122256
Caribbean small states,3097.12872237526
Cuba,2063.22212319205
Curacao,
Cayman Islands,
Cyprus,10526.1416015625
Czechia,3956.1783495613
Germany,25522.6295733618
Djibouti,762.475184062753
Dominica,3549.65267570625
Denmark,27597.9752286357
Dominican Republic,1726.62547910699
Algeria,1825.87509656701
Ecuador,1701.159458991
Egypt,758.829619215034
Eritrea,236.130124297588
Spain,13339.908563675
Estonia,
Ethiopia,164.165053540403
European Union,15933.0742584263
Finland,17608.8123902264
Fiji,2073.1188458909
France,22380.331904695
Faroe Islands,16874.1615610619
"Micronesia, Fed. Sts.",1871.16853720645
Gabon,4109.89879857863
United Kingdom,18389.0195675099
Georgia,550.040007880477
Ghana,358.631011592961
Gibraltar,
Guinea,465.37771094588
"Gambia, The",646.268216787958
Guinea-Bissau,224.157422214094
Equatorial Guinea,261.511902762224
