Country,GDP
Aruba,19742.3167386832
Africa Eastern and Southern,700.224695923614
Afghanistan,
Africa Western and Central,1154.47952338536
Angola,423.403331774938
Albania,813.789396580449
Andorra,18592.2436421492
Arab World,2367.09457115441
United Arab Emirates,25905.8433836172
Argentina,8250.67317414321
Armenia,584.384267258527
American Samoa,
Antigua and Barbuda,10029.4777498107
Australia,21479.1142020092
Austria,27361.8751106437
Azerbaijan,561.906807871869
Burundi,148.089542628487
Belgium,25338.4432934904
Benin,372.877346566327
Burkina Faso,250.413944386071
Bangladesh,401.96518010266
Bulgaria,1820.44866449942
Bahrain,9195.42560974637
The Bahamas,21665.3878591494
Bosnia and Herzegovina,1000.41683499719
Belarus,1511.25979105507
Belize,4119.70617206105
Bermuda,51371.7408069836
Bolivia,1025.40949458297
Brazil,5049.76466914353
Barbados,10685.2606122975
Brunei Darussalam,12653.8093977302
Bhutan,652.361029221118
Botswana,2893.32874464307
Central African Republic,272.101540127148
Canada,21024.5850687045
Central Europe and the Baltics,4109.312867637
Switzerland,42680.5867322391
Channel Islands,41229.0142680848
Chile,5467.1881883424
China,828.594691043134
Ivory Coast,1237.13141694264
Cameroon,789.274291959589
Democratic Republic of the Congo,135.477390361009
"Congo, Rep.",663.728702844685
Colombia,2595.54301144732
Comoros,717.31813173168
Cabo Verde,1185.58374001024
Costa Rica,3580.93388469275
Caribbean small states,4682.95466946403
Cuba,2332.50821705533
Curacao,
Cayman Islands,
Cyprus,15092.826171875
Czechia,6489.7036188033
Germany,27289.0593603191
Djibouti,740.038953117996
Dominica,4676.82716515001
Denmark,33368.142415092
Dominican Republic,2616.74545240729
Algeria,1610.30297761325
Ecuador,2293.65582793553
Egypt,1239.35356227086
Eritrea,320.965283309052
Spain,15394.3514628249
Estonia,4093.39247738765
Ethiopia,123.830216431633
European Union,18615.7739409464
Finland,26009.2694886182
Fiji,2031.02501340057
France,24971.5744885632
Faroe Islands,24623.743124955
"Micronesia, Fed. Sts.",1964.64373552591
Gabon,3705.81808865207
United Kingdom,28274.5045119699
Georgia,851.515542450841
Ghana,399.796201063895
Gibraltar,
Guinea,448.965332297245
"Gambia, The",619.593039488998
Guinea-Bissau,174.362477754375
Equatorial Guinea,588.641608084861
Greece,13472.1376092623
Grenada,4198.71556113552
Greenland,20496.578783559
Guatemala,1755.84958223191
Guam,
Guyana,948.240422744595
High income,23780.2218653221
"Hong Kong SAR, China",25808.8609899709
Honduras,1009.16270537509
Heavily indebted poor countries (HIPC),362.43448085351
Croatia,5711.48570357941
Haiti,461.971438862096
Hungary,4744.21226429639
IBRD only,1427.05197779572
IDA & IBRD total,1252.54168085366
IDA total,616.484204136445
IDA blend,960.291325571297
Indonesia,459.191863103941
IDA only,442.497509739995
Isle of Man,18753.0401253347
India,412.509354123275
Not classified,
Ireland,24294.8547674007
Iran,1737.70003294514
Iraq,894.329094332383
Iceland,31030.0535989181
Israel,20106.6307473306
Italy,22318.1373007109
Jamaica,3410.42776005243
Jordan,1633.28088186495
Japan,32423.7556133801
Kazakhstan,1468.66867224573
Kenya,483.708632337355
Kyrgyz Republic,345.138131648451
Cambodia,267.40979622145
Kiribati,761.420567927591
St. Kitts and Nevis,8665.09905958579
South Korea,8281.71948271445
Kuwait,14258.3558211835
Lao PDR,243.986443617621
Lebanon,4127.32005423634
Liberia,
Libya,5471.08689098625
St. Lucia,5593.74841355014
Latin America & Caribbean,4607.77774350488
Sri Lanka,850.985655205576
Lesotho,467.587961915013
Late-demographic dividend,1669.26952671718
Lithuania,3166.66653264509
Latvia,2973.53484252681
"Macao SAR, China",16232.5257182761
St. Martin (French part),
Morocco,1658.47180175781
Moldova,578.734627562193
Madagascar,288.635937493217
Maldives,1972.62340436336
Middle East & North Africa,2820.36279464633
Mexico,5882.4214338638
Marshall Islands,2111.94417274848
Middle income,1245.44559300975
North Macedonia,1875.81662735988
Mali,274.974397143863
Malta,10273.4518124025
Myanmar,145.103665988054
Middle East & North Africa (excluding high income),1707.13884762822
Montenegro,
Mongolia,467.51393462996
Northern Mariana Islands,
Mozambique,328.018329206652
Mauritania,796.842528173849
Mauritius,3593.24156909307
Malawi,237.374333523458
Malaysia,3308.83565299935
North America,31691.9177761216
Namibia,2231.11447461817
New Caledonia,17324.2505696201
Niger,243.517549552896
Nigeria,1871.75605670825
Nicaragua,931.795913449482
Netherlands,27885.8083823465
Norway,34803.4634058738
Nepal,204.876506977866
Nauru,
New Zealand,14738.4455703918
OECD members,21793.4791960963
Oman,6139.73282520597
Other small states,3646.05327447924
Pakistan,427.506327495099
Panama,4012.05416513441
Peru,2149.70106301576
Philippines,1000.00668971786
Palau,
Papua New Guinea,737.413721028004
Poland,4518.10822630174
Pre-demographic dividend,745.947481062285
Puerto Rico,14304.4049868015
"Korea, Dem. People's Rep.",
Portugal,12199.206385024
Paraguay,1880.89316502001
West Bank and Gaza,1465.04605685868
Pacific island small states,1727.12844928516
Post-demographic dividend,24442.1929925091
French Polynesia,16070.2999515168
Qatar,17651.5455802225
Romania,1852.5549693339
Russia,1834.86181640625
Rwanda,251.349687342382
Saudi Arabia,7169.36647746783
Sudan,366.115905761719
Senegal,702.433692790286
Singapore,21829.2737831583
Solomon Islands,1121.12077870626
Sierra Leone,151.09656286769
El Salvador,1858.37139425221
San Marino,
Somalia,
Serbia,2571.17271041453
Sub-Saharan Africa (excluding high income),882.242002784623
South Sudan,
Sub-Saharan Africa,883.152996150948
Small states,3746.68607455302
Sao Tome and Principe,
Suriname,2405.74424633296
Slovak Republic,5538.61646477184
Slovenia,11175.7710286265
Sweden,30596.5272048832
Eswatini,1568.81689878282
Sint Maarten (Dutch part),
Seychelles,8209.51444287
Syrian Arab Republic,4542.94912522261
Turks and Caicos Islands,
Chad,226.328772007424
Togo,335.711994876849
Thailand,1841.04295540394
Tajikistan,214.429331694379
Turkmenistan,587.990328027722
Timor-Leste,
Tonga,1889.67065077405
Trinidad and Tobago,4569.65241228159
Tunisia,2253.02884559851
Turkiye,4433.35828474486
Tuvalu,1324.20681583231
Tanzania,387.018646240234
Uganda,292.169481253444
Ukraine,835.236633300781
Upper middle income,1801.51548872081
Uruguay,7780.67834893026
United States of America,32853.6769523009
Uzbekistan,623.216132835985
St. Vincent and the Grenadines,3272.61874058178
"Venezuela, RB",3886.03925409142
British Virgin Islands,
Virgin Islands (U.S.),
Viet Nam,352.783068017119
Vanuatu,1432.60842167883
Samoa,1493.94486323757
Kosovo,
"Yemen, Rep.",359.048603616665
South Africa,3336.4396473055
Zambia,377.462615553668
Zimbabwe,554.361483583302
