Country,GDP
Aruba,24105.5241207717
Africa Eastern and Southern,991.192169016285
Afghanistan,221.830530720307
Africa Western and Central,841.297352330649
Angola,1254.69612612243
Albania,2373.58129170055
Andorra,37630.7642639554
Arab World,3394.0972917644
United Arab Emirates,37017.736365469
Argentina,4258.16026060875
Armenia,1166.63820390025
American Samoa,8832.81851941832
Antigua and Barbuda,11650.8484770858
Australia,30836.7306824685
Austria,36889.2335135194
Azerbaijan,1045.0136328106
Burundi,128.538422519456
Belgium,35429.4077933344
Benin,784.119075060929
Burkina Faso,405.451276438268
Bangladesh,469.116458369252
Bulgaria,3389.68743360274
Bahrain,15777.9636408956
The Bahamas,26393.4139538137
Bosnia and Herzegovina,2451.57730128439
Belarus,2378.33700470129
Belize,5123.59621428164
Bermuda,70359.3191088798
Bolivia,951.951622939377
Brazil,3623.22446166485
Barbados,12828.4389489954
Brunei Darussalam,21839.2636191121
Bhutan,1050.13310723996
Botswana,4818.21310297023
Central African Republic,309.190242787419
Canada,32143.6814078562
Central Europe and the Baltics,7176.50904558282
Switzerland,54659.4571488233
Channel Islands,57200.4664639273
Chile,6185.30378461096
China,1508.66791563578
Ivory Coast,1267.76482295105
Cameroon,1119.98086164741
Democratic Republic of the Congo,187.856781029954
"Congo, Rep.",1314.41128060735
Colombia,2811.45945051653
Comoros,1090.42716869473
Cabo Verde,1900.88846473653
Costa Rica,4376.08042847261
Caribbean small states,6453.84987087193
Cuba,3403.29616311163
Curacao,
Cayman Islands,
Cyprus,23792.62109375
Czechia,11749.8526643577
Germany,34106.6581224001
Djibouti,813.897943575246
Dominica,5354.79919503019
Denmark,46511.5983324305
Dominican Republic,2468.43678989514
Algeria,2624.79523151946
Ecuador,2703.56567057465
Egypt,1016.25388395628
Eritrea,401.374525156058
Spain,24907.0008505856
Estonia,8914.10355674451
Ethiopia,134.542486332684
European Union,26307.1980339708
Finland,37772.1781110398
Fiji,3124.60738926325
France,33797.1624418436
Faroe Islands,35940.9608625712
"Micronesia, Fed. Sts.",2155.78169026723
Gabon,5483.14457467164
United Kingdom,40366.8886650968
Georgia,1305.04748557208
Ghana,405.424901764719
Gibraltar,
Guinea,405.696059760439
"Gambia, The",596.629286497506
Guinea-Bissau,394.995797951701
Equatorial Guinea,5337.61438929676
Greece,21995.477943746
Grenada,5470.60331451653
Greenland,32023.6820516137
Guatemala,1859.09929915887
Guam,23590.8880271213
Guyana,1036.01987731035
High income,31667.1406769112
"Hong Kong SAR, China",24928.1003722551
Honduras,1201.24750461917
Heavily indebted poor countries (HIPC),456.910871220107
Croatia,9723.38102385632
Haiti,679.280054310522
Hungary,10301.7033946743
IBRD only,1940.61279023634
IDA & IBRD total,1647.93658815363
IDA total,656.323404288513
IDA blend,820.21594780709
Indonesia,1136.75521127965
IDA only,574.974363638996
Isle of Man,35872.72612288
India,624.105094381691
Not classified,
Ireland,47754.2023194244
Iran,2751.79304173638
Iraq,1314.76255894742
Iceland,47334.9306537723
Israel,20557.0786270029
Italy,31317.2007943296
Jamaica,3819.28423090316
Jordan,2062.69597047352
Japan,38298.9801712303
Kazakhstan,2874.28848272999
Kenya,462.61821577443
Kyrgyz Republic,433.234976590867
Cambodia,410.086132917873
Kiribati,1063.8785841761
St. Kitts and Nevis,10882.3529411765
South Korea,16496.1316167114
Kuwait,27601.4000590722
Lao PDR,410.251318982826
Lebanon,4625.30424673265
Liberia,287.274691932321
Libya,5823.63794340523
St. Lucia,6494.60034867886
Latin America & Caribbean,4374.33261922176
Sri Lanka,1060.1369431645
Lesotho,761.181038791723
Late-demographic dividend,2435.1278052101
Lithuania,6700.32719189382
Latvia,6378.66652057115
"Macao SAR, China",22381.9231911914
St. Martin (French part),
Morocco,2177.798828125
Moldova,897.178494749468
Madagascar,277.50782658828
Maldives,4060.53441281363
Middle East & North Africa,3940.4215690473
Mexico,7883.5231908285
Marshall Islands,2442.07954441076
Middle income,1648.65364384137
North Macedonia,2795.89739346219
Mali,427.717319974613
Malta,15197.056610121
Myanmar,223.229846970577
Middle East & North Africa (excluding high income),2241.5030685612
Montenegro,3380.16512135859
Mongolia,784.912071951003
Northern Mariana Islands,16829.3972015911
Mozambique,403.020713102699
Mauritania,801.778683129563
Mauritius,5388.06245268972
Malawi,407.588990013244
Malaysia,4924.33811126582
North America,40788.0935353683
Namibia,3407.85064848415
New Caledonia,25770.5310511611
Niger,281.325360212044
Nigeria,992.74539908679
Nicaragua,1075.99856237763
Netherlands,40436.6182310407
Norway,57768.6980958462
Nepal,279.724200317908
Nauru,
New Zealand,25420.234882944
OECD members,28798.166965877
Oman,10030.4444262065
Other small states,6596.34069212277
Pakistan,774.785335734991
Panama,4629.02931602921
Peru,2393.66589710452
Philippines,1122.85552182107
Palau,8297.89521273924
Papua New Guinea,624.03532132549
Poland,6681.30975087388
Pre-demographic dividend,665.751146493868
Puerto Rico,20988.9923326534
"Korea, Dem. People's Rep.",
Portugal,18064.1580932987
Paraguay,1776.93225816866
West Bank and Gaza,1422.19088643544
Pacific island small states,2272.90999524898
Post-demographic dividend,32624.9238840215
French Polynesia,20829.0657125084
Qatar,40792.2764702117
Romania,3494.99056448955
Russia,4102.36474609375
Rwanda,270.323307927217
Saudi Arabia,10935.0165899837
Sudan,737.122802734375
Senegal,941.873792468596
Singapore,27608.080013423
Solomon Islands,991.98855103909
Sierra Leone,258.473168803963
El Salvador,2273.95550275819
San Marino,59249.6476815729
Somalia,
Serbia,3502.80292389567
Sub-Saharan Africa (excluding high income),927.552212871253
South Sudan,
Sub-Saharan Africa,928.653242247256
Small states,6274.86719351371
Sao Tome and Principe,726.597740707697
Suriname,2906.72527754218
