Country,GDP
Aruba,25611.1757666902
Africa Eastern and Southern,1773.65156828277
Afghanistan,653.417479124439
Africa Western and Central,1957.91778421768
Angola,5083.82685110166
Albania,4247.63134315945
Andorra,44902.38771225
Arab World,7368.69889582195
United Arab Emirates,44386.7860789846
Argentina,13082.664325572
Armenia,3643.71540108565
American Samoa,11920.0610903131
Antigua and Barbuda,15136.8411091932
Australia,68078.0442283168
Austria,48564.9173350875
Azerbaijan,7495.86527658099
Burundi,238.205945258781
Belgium,44670.5606845101
Benin,1112.56953619685
Burkina Faso,733.97287958981
Bangladesh,876.818010441423
Bulgaria,7430.7373804242
Bahrain,25102.726348527
The Bahamas,28059.3936570338
Bosnia and Herzegovina,4688.34582317708
Belarus,6953.21591683101
Belize,5635.52152550234
Bermuda,98431.8651810241
Bolivia,2562.46678423329
Brazil,12327.5131013057
Barbados,16704.9243836827
Brunei Darussalam,46844.1973390647
Bhutan,2470.07215130703
Botswana,6392.98734736839
Central African Republic,525.867504037729
Canada,52669.0899632316
Central Europe and the Baltics,13075.4026248976
Switzerland,85836.2076767359
Channel Islands,
Chile,15397.7804598152
China,6300.58217952904
Ivory Coast,1649.3016148365
Cameroon,1433.7239284003
Democratic Republic of the Congo,412.776260544995
"Congo, Rep.",3753.86092808102
Colombia,8096.80150977513
Comoros,1483.95155852994
Cabo Verde,3583.46172510997
Costa Rica,9971.65165576585
Caribbean small states,10464.8269752312
Cuba,6467.33791422804
Curacao,19809.8223170482
Cayman Islands,75466.1365462205
Cyprus,28910.74609375
Czechia,19870.8012123403
Germany,43855.8544658618
Djibouti,1418.46085811933
Dominica,7054.87597689432
Denmark,58507.5080517852
Dominican Republic,6049.47158709846
Algeria,5610.73328198233
Ecuador,5678.45572070003
Egypt,3059.13542779204
Eritrea,
Spain,28322.9465923276
Estonia,17403.2053254767
Ethiopia,458.550920793057
European Union,33169.1180971754
Finland,47708.0612784469
Fiji,4359.79240035309
France,40870.8523645734
Faroe Islands,50157.0587890212
"Micronesia, Fed. Sts.",3023.58544607879
Gabon,9348.51487640056
United Kingdom,42497.3404974322
Georgia,4421.930711904
Ghana,1536.61963499859
Gibraltar,
Guinea,707.967678199003
"Gambia, The",686.557557719746
Guinea-Bissau,598.572626248258
Equatorial Guinea,18756.4250273225
Greece,21912.9982879517
Grenada,6900.76507593244
Greenland,45936.9562817724
Guatemala,3355.03477737406
Guam,31642.1462570316
Guyana,5461.39008471262
High income,41480.8641475896
"Hong Kong SAR, China",36730.796195815
Honduras,2107.34542786596
Heavily indebted poor countries (HIPC),914.728296438905
Croatia,13439.6645555189
Haiti,1356.17277659459
Hungary,12984.8365730133
IBRD only,5596.07993262504
IDA & IBRD total,4533.25382791296
IDA total,1286.7765547365
IDA blend,1885.39859061995
Indonesia,3668.21208337097
IDA only,984.998297134728
Isle of Man,79326.3829993587
India,1434.01798721629
Not classified,
Ireland,48943.8206459561
Iran,8329.00206664876
Iraq,6437.50307624074
Iceland,45995.5478789467
Israel,33156.2283157638
Italy,35051.5212697703
Jamaica,5365.24217204558
Jordan,4386.4618185538
Japan,49145.2804308193
Kazakhstan,12386.6992652963
Kenya,1289.78079149822
Kyrgyz Republic,1177.97526115747
Cambodia,950.482544613835
Kiribati,1698.91912438014
St. Kitts and Nevis,17293.8060527894
South Korea,25459.1689000965
Kuwait,51271.0677569339
