Country,GDP,info
Cyprus,35397.36,"Michael Anastos,17,199,Bronze medal;Christos Anastassiades,14,268,Honourable mention;Theodoros Assiotis,5,424,nan;Maria Mouyiari,4,448,nan;Christos Makris,2,479,nan;Neophytos Charalambides,0,521,nan"
Czechia,22804.58,na
Germany,45612.71,"Lisa Sauermann,35,12,Gold medal;Georg Schröter,28,64,Silver medal;Malte Lackmann,24,107,Silver medal;Jessica Fintzen,19,170,Bronze medal;Florentin Münch,18,186,Bronze medal;Philipp Weiß,15,238,Bronze medal"
Djibouti,1131.64,na
Dominica,6661.47,na
Denmark,64322.06,"Sune Kristian Jakobsen,24,107,Silver medal;Asger Kjærulff Jensen,22,127,Silver medal;Henrik Tobias Madsen,11,320,Honourable mention;Rasmus Nørtoft Johansen,5,424,nan;Niels Olsen,2,479,nan;Mathias Bundgaard Svensson,2,479,nan"
Dominican Republic,5053.33,na
Algeria,4946.56,na
Ecuador,4260.43,"Qi Han,9,346,Honourable mention;Xavier Soriano,5,424,nan;Alex Lee,4,448,nan;Miguel Ordóñez,3,459,nan;Pablo Serrano,3,459,nan;Alfredo Sanchez,2,479,nan"
Egypt,1941.9,na
Eritrea,459.18,na
Spain,35510.72,"Gabriel Fürstenheim Milerud,15,238,Bronze medal;Diego Bruno Izquierdo Arseguet,15,238,Bronze medal;Arnau Messegué Buisan,15,238,Bronze medal;David Alfaya Sánchez,13,284,Honourable mention;Moisés Herradón Cueto,13,284,Honourable mention;Juan José Madrigal Martínez,11,320,Honourable mention"
Estonia,18204.97,"Fjodor Gainullin,15,238,Bronze medal;Kairi Kangro,9,346,Honourable mention;Rauno Siinmaa,6,407,nan;Kadi Liis Saar,5,424,nan;Olga Bulgakova,4,448,nan;Andre Tamm,2,479,nan"
Ethiopia,320.86,na
European Union,37044.04,na
Finland,53772.79,"Sylvester Eriksson-Bique,15,238,Bronze medal;Janne Junnila,12,297,Honourable mention;Heikki Pulkkinen,5,424,nan;Lauri Hitruhin,3,459,nan;Jonatan Lehtonen,3,459,nan;Lasse Vekama,2,479,nan"
Fiji,3928.92,na
France,45515.96,"Jean-François Martin,22,127,Silver medal;Martin Clochard,21,148,Bronze medal;Rémi De Joannis De Verclos,16,212,Bronze medal;Ambroise Marigot,16,212,Bronze medal;Juliette Fournier,15,238,Bronze medal;Rémi Varloot,14,268,Honourable mention"
Faroe Islands,51431.97,na
"Micronesia, Fed. Sts.",2420.75,na
Gabon,9732.23,na
United Kingdom,47396.12,"Tom Lovering,25,92,Silver medal;Alison Zhu,25,92,Silver medal;Tim Hennock,24,107,Silver medal;Peter Leach,23,116,Silver medal;Freddie Manners,20,159,Bronze medal;Dominic Yeo,16,212,Bronze medal"
Georgia,3324.75,"Lasha Peradze,16,212,Bronze medal;Beka Ergemlidze,15,238,Bronze medal;Lasha Lakirbaia,15,238,Bronze medal;Tsotne Tabidze,15,238,Bronze medal;Levan Varamashvili,15,238,Bronze medal;Nikoloz Salia,8,368,Honourable mention"
Ghana,1178.96,na
Gibraltar,,na
Guinea,712.1,na
"Gambia, The",857.86,na
Guinea-Bissau,583.27,na
Equatorial Guinea,19849.72,na
Greece,32127.98,"Anastasios Vafeidis,20,159,Bronze medal;Silouanos Brazitikos,17,199,Bronze medal;Nikolaos Panagiotakos,14,268,Honourable mention;Ilias Giechaskiel,13,284,Honourable mention;Nikolaos Rapanos,12,297,Honourable mention;Alkistis Mavroeidi,9,346,Honourable mention"
Grenada,7343.45,na
Greenland,44366.79,na
Guatemala,2802.45,"Esteban José Arreaga Ambéliz,15,238,Bronze medal;Mario Roberto Mata Arenales,1,508,nan;Hector Eduardo Hernández Ruiz,0,521,nan;Victor Manuel Moscoso Villagrán,0,521,nan"
Guam,28277.43,na
Guyana,4011.39,na
High income,40039.59,na
"Hong Kong SAR, China",31515.53,na
Honduras,1713.42,"Oscar Hernan Madrid Padilla,9,346,Honourable mention;Darwin Omar Gutierrez,8,368,Honourable mention"
Heavily indebted poor countries (HIPC),788.89,na
Croatia,15898.8,"Adrian Satja Kurdija,20,159,Bronze medal;Goran Žužić,19,170,Bronze medal;Melkior Ornik,17,199,Bronze medal;Nina Kamčev,14,268,Honourable mention;Sara Muhvić,13,284,Honourable mention;Ines Marušić,3,459,nan"
Haiti,1089.58,na
Hungary,15772.33,"László Miklós Lovász,39,4,Gold medal;István Tomon,37,5,Gold medal;András Eisenberger,26,78,Silver medal;Viktor Kiss,22,127,Silver medal;Dániel Korándi,22,127,Silver medal;Kristóf Kornis,19,170,Bronze medal"
IBRD only,3930.83,na
IDA & IBRD total,3273.58,na
IDA total,1159.63,na
IDA blend,1492.8,na
Indonesia,2144.39,"Andreas Dwi Maryanto Gunawan,23,116,Silver medal;Aldrian Obaja Muis,19,170,Bronze medal;Fahmi Fuady,17,199,Bronze medal;Joseph Andreas,12,297,Honourable mention;Satria Stanza Pramayoga,9,346,nan;Sa'Aadah Sajjana Carita,8,368,Honourable mention"
IDA only,993.22,na
Isle of Man,72304.95,na
India,993.5,"Anirudh Gurjale,19,170,Bronze medal;Utkarsh Tripathi,19,170,Bronze medal;Prashant Sohani,18,186,Bronze medal;Rudradev Basak,17,199,Bronze medal;Ankit Ashok Baraskar,16,212,Bronze medal;Abhinav Garg,14,268,Honourable mention"
