Country,GDP
Aruba,28449.7129463044
Africa Eastern and Southern,1444.00351350532
Afghanistan,523.053012101752
Africa Western and Central,1648.76267571999
Angola,1809.70937719455
Albania,4124.05538986272
Andorra,39931.2362644858
Arab World,6117.87150687726
United Arab Emirates,41054.5395699204
Argentina,12790.2641396135
Armenia,3679.95234740376
American Samoa,13300.8246114811
Antigua and Barbuda,16449.0591470407
Australia,49918.7939327254
Austria,45307.5878620429
Azerbaijan,3880.6852276838
Burundi,242.539527292978
Belgium,42012.6227191016
Benin,1049.82030349923
Burkina Faso,665.786328598963
Bangladesh,1659.96249605674
Bulgaria,7570.93165511708
Bahrain,22867.1811196134
The Bahamas,29675.5358910641
Bosnia and Herzegovina,4917.26376596306
Belarus,5039.77560949445
Belize,6099.95710191497
Bermuda,106885.878489327
Bolivia,3013.50270721666
Brazil,8680.73646873878
Barbados,17381.3650865426
Brunei Darussalam,26762.0350436621
Bhutan,2879.54656392589
Botswana,6411.55166556511
Central African Republic,372.135456093031
Canada,42315.6037056806
Central Europe and the Baltics,12783.1808373622
Switzerland,82153.0745447889
Channel Islands,58093.9960625367
Chile,13788.2400157601
China,8094.39016730811
Ivory Coast,1999.19537159383
Cameroon,1426.06548113211
Democratic Republic of the Congo,456.027950583624
"Congo, Rep.",2107.5030239722
Colombia,5936.2610216683
Comoros,1357.26622888827
Cabo Verde,3312.69674458487
Costa Rica,11899.8139833748
Caribbean small states,9805.58674802275
Cuba,8055.92586780018
Curacao,18944.0962772875
Cayman Islands,78858.2802552237
Cyprus,24605.349609375
Czechia,18575.2320271915
Germany,42136.1207907991
Djibouti,2545.73879850905
Dominica,8223.04145029796
Denmark,54663.9983719195
Dominican Republic,7191.06970308651
Algeria,3967.20064743809
Ecuador,6079.08873612077
Egypt,3331.61246134688
Eritrea,
Spain,26537.1594894542
Estonia,18295.3429322114
Ethiopia,705.617508543589
European Union,31174.0338747893
Finland,43814.0265056965
Fiji,5368.43349186431
France,37062.5335723829
Faroe Islands,56833.9165410522
"Micronesia, Fed. Sts.",3022.65362747328
Gabon,6722.19822269059
United Kingdom,40985.2351382417
Georgia,4062.12697838612
Ghana,1900.39767444476
Gibraltar,
Guinea,720.473255172646
"Gambia, The",640.676265282984
Guinea-Bissau,642.666390086932
Equatorial Guinea,8035.30766558427
Greece,17923.9668134716
Grenada,8849.51353500776
Greenland,48181.7453541266
Guatemala,4173.28134863663
Guam,35052.8079075238
Guyana,5905.38019563205
High income,40428.1793753079
"Hong Kong SAR, China",43734.1980702999
Honduras,2295.53627000423
Heavily indebted poor countries (HIPC),981.831642180149
Croatia,12579.9227031481
Haiti,1313.18609516709
Hungary,13104.6995457458
IBRD only,5523.36142053282
IDA & IBRD total,4463.08064447961
IDA total,1362.46198227562
IDA blend,1820.08119041884
Indonesia,3558.81885175737
IDA only,1133.38080946403
Isle of Man,82041.6210496551
India,1714.27953740039
Not classified,
Ireland,62784.0656875694
Iran,5497.24323254699
Iraq,4305.20270154631
Iceland,61987.9263620283
Israel,37690.4739511859
Italy,30960.7315088902
Jamaica,5022.70019182535
Jordan,4003.40474641177
Japan,39375.4731620781
Kazakhstan,7714.84184376024
Kenya,1562.07661862777
Kyrgyz Republic,1120.66705800127
Cambodia,1281.10597105412
Kiribati,1506.23100308107
St. Kitts and Nevis,21079.520970707
South Korea,29280.4403170048
Kuwait,27026.6876602182
Lao PDR,2309.0490761946
Lebanon,8172.29947599133
Liberia,722.131226789418
Libya,7945.00605015965
St. Lucia,10574.3865772889
Latin America & Caribbean,8421.1480767647
Sri Lanka,4107.82977539914
Lesotho,994.239764062067
Late-demographic dividend,8182.34473545212
Lithuania,15008.3132445526
Latvia,14331.7515885049
"Macao SAR, China",71919.054918813
St. Martin (French part),
Morocco,3132.9521484375
Moldova,2847.63506882245
Madagascar,464.61615837171
Maldives,9708.14134750478
Middle East & North Africa,7158.04976907986
Mexico,9152.73722334937
Marshall Islands,4153.11717602268
Middle income,4698.95569942803
North Macedonia,5149.58676436907
Mali,750.051809102295
Malta,25623.9416320597
Myanmar,1218.21703407842
Middle East & North Africa (excluding high income),3832.82048511992
Montenegro,7033.43962398373
Mongolia,3690.75677759847
Northern Mariana Islands,24054.9156122269
Mozambique,435.760991009624
Mauritania,1579.20071673512
Mauritius,9965.72531085228
Malawi,454.443266065248
Malaysia,9555.66959336559
North America,56312.4348848537
Namibia,4614.89207493896
New Caledonia,32286.9104984753
Niger,497.036120831726
Nigeria,2144.78034442697
Nicaragua,2079.45102735861
Netherlands,46039.1059284098
Norway,70867.3609970749
Nepal,880.224893639824
Nauru,8528.63015087044
New Zealand,40058.1961621466
OECD members,36115.1930669069
Oman,17082.2061998982
Other small states,12088.9097712616
Pakistan,1468.82208238833
Panama,14382.2323819969
Peru,6163.86042474328
Philippines,3038.15203684461
Palau,16743.376740009
Papua New Guinea,2332.67588834678
Poland,12378.8117641782
Pre-demographic dividend,1388.67825973899
Puerto Rico,30627.1634017011
"Korea, Dem. People's Rep.",
Portugal,19991.9724878805
Paraguay,5759.04219789251
West Bank and Gaza,3527.61382413178
Pacific island small states,3866.86186006748
Post-demographic dividend,41363.385868283
French Polynesia,18726.6394704764
Qatar,58467.2355711087
Romania,9404.38125929526
Russia,8704.89453125
Rwanda,728.869618913457
Saudi Arabia,19930.407543816
Sudan,2614.29443359375
Senegal,1290.74997126951
Singapore,56895.6583127851
Solomon Islands,2196.28389055503
Sierra Leone,515.447839602837
El Salvador,3870.31298246063
San Marino,43398.4285257227
Somalia,517.09758150565
Serbia,5765.20335248009
Sub-Saharan Africa (excluding high income),1525.6890557515
South Sudan,
Sub-Saharan Africa,1526.95769331624
Small states,11169.7393118569
Sao Tome and Principe,1428.25790783907
Suriname,5705.39948731743
Slovak Republic,16563.4404971229
Slovenia,21678.3594670629
Sweden,51965.1571531985
Eswatini,3339.99040122187
Sint Maarten (Dutch part),35703.0999494536
Seychelles,15409.8046337211
Syrian Arab Republic,664.341672388301
Turks and Caicos Islands,26995.0321602259
Chad,691.980077427731
Togo,792.440550873266
Thailand,5854.4639077194
Tajikistan,801.39383995978
Turkmenistan,6163.25340597611
Timor-Leste,1349.54677672507
Tonga,3978.43768561484
Trinidad and Tobago,16139.105257595
Tunisia,3796.1095999439
Turkiye,10970.0458948862
Tuvalu,3836.07300251003
Tanzania,942.889038085938
Uganda,753.684405508036
Ukraine,2187.7275390625
Upper middle income,7607.59673123082
Uruguay,16837.9403803049
United States of America,57866.7449341091
Uzbekistan,2704.67718852896
St. Vincent and the Grenadines,7684.79283998852
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),35324.9748874586
Viet Nam,2760.71710111715
Vanuatu,2757.20330593386
Samoa,4105.8109051951
Kosovo,3759.47285515454
"Yemen, Rep.",1069.81699814078
South Africa,5735.06678717842
Zambia,1249.92314348406
Zimbabwe,1421.78779140568
