Country,GDP
Aruba,27665.2994801174
Africa Eastern and Southern,1376.63877762359
Afghanistan,376.318296441543
Africa Western and Central,1421.27293436262
Angola,3121.34873520681
Albania,3595.03829536404
Andorra,50562.8266054777
Arab World,5329.57992106682
United Arab Emirates,43918.3801694265
Argentina,7210.59554755899
Armenia,3064.27996263859
American Samoa,9187.16634446553
Antigua and Barbuda,16006.1361107498
Australia,41051.6120652288
Austria,46915.3374004507
Azerbaijan,3851.33015175141
Burundi,170.706876502428
Belgium,44319.165448813
Benin,944.6431721273
Burkina Faso,516.750328470839
Bangladesh,552.338934530705
Bulgaria,5888.77685220636
Bahrain,20883.5480311994
The Bahamas,29687.865215033
Bosnia and Herzegovina,3936.93174748389
Belarus,4735.48107556066
Belize,5717.9296198322
Bermuda,104287.387498459
Bolivia,1351.03518185564
Brazil,7323.19159375818
Barbados,17219.0212345825
Brunei Darussalam,32337.2743722073
Bhutan,1714.03108535542
Botswana,5372.34073174354
Central African Republic,388.477771679374
Canada,44659.8951408034
Central Europe and the Baltics,12009.6777052152
Switzerland,64989.1553256031
Channel Islands,75148.3494360381
Chile,10456.8323839064
China,2693.95873162278
Ivory Coast,1451.232530741
Cameroon,1311.00296446609
Democratic Republic of the Congo,277.612079551534
"Congo, Rep.",2219.91230676263
Colombia,4762.08306841743
Comoros,1289.79485002143
Cabo Verde,3268.30569555962
Costa Rica,6055.08677887203
Caribbean small states,9053.71335531158
Cuba,4814.85487568512
Curacao,
Cayman Islands,89960.6837293746
Cyprus,31244.92578125
Czechia,18466.5479299216
Germany,41640.0808695147
Djibouti,980.031032399576
Dominica,6126.84949580624
Denmark,58487.0549677696
Dominican Republic,4676.07905086376
Algeria,3971.80348828223
Ecuador,3579.03224391806
Egypt,1586.47292057972
Eritrea,450.409713679088
Spain,32591.3503065871
Estonia,16744.5844516343
Ethiopia,240.347971955032
European Union,33587.3545303844
Finland,48476.3927287052
Fiji,3793.09738500959
France,41557.6235648179
Faroe Islands,48365.735061209
"Micronesia, Fed. Sts.",2344.40346200197
Gabon,8036.91995564327
United Kingdom,50397.6854954706
Georgia,2635.36650276116
Ghana,1047.19942781651
Gibraltar,
Guinea,657.993473811195
"Gambia, The",725.092284883529
Guinea-Bissau,480.438602159015
Equatorial Guinea,13776.9033327262
Greece,28863.9732885018
Grenada,6790.63408004111
Greenland,39780.9441368721
Guatemala,2490.74782825487
Guam,26686.8168217379
Guyana,3609.90850934176
High income,37889.2952122585
"Hong Kong SAR, China",30593.9511738646
Honduras,1559.88604406996
Heavily indebted poor countries (HIPC),681.854719909519
Croatia,13762.4562630334
Haiti,979.599640875777
Hungary,13940.9092761999
IBRD only,3309.9845732992
IDA & IBRD total,2766.52521535075
IDA total,995.792438203052
IDA blend,1303.57146024418
Indonesia,1840.32992667702
IDA only,841.963781796543
Isle of Man,55072.1779876299
India,1022.73246704551
Not classified,
Ireland,61396.417461176
"Iran, Islamic Rep.",4838.00355614642
Iraq,3099.59196989479
Iceland,69495.7267376825
Israel,25633.6432169583
Italy,37870.7475070969
Jamaica,4738.44977777995
Jordan,2643.1684392965
Japan,35779.0245416427
Kazakhstan,6771.41662014884
Kenya,840.191631882336
Kyrgyz Republic,721.769522542147
Cambodia,629.92107663841
Kiribati,1300.75934223913
St. Kitts and Nevis,14660.9632071719
South Korea,24086.4104391677
Kuwait,45729.799339984
Lao PDR,699.041376065848
Lebanon,5162.03295880358
Liberia,377.951628798097
Libya,11158.1122737785
St. Lucia,7975.79254059155
Latin America & Caribbean,7015.10333208806
Sri Lanka,1611.17558723051
Lesotho,848.077371929249
Late-demographic dividend,4379.95618199025
Lithuania,12285.4470537014
Latvia,14113.5291277327
"Macao SAR, China",35782.8607152865
St. Martin (French part),
Morocco,2751.42358398438
Moldova,1531.21618590748
Madagascar,427.83632916955
Maldives,5746.64425436129
Middle East & North Africa,6119.52549258855
Mexico,10178.4422371206
Marshall Islands,2773.41870535549
Middle income,2771.46996355475
North Macedonia,4079.39040357019
Mali,579.257140881674
Malta,19485.8711529324
Myanmar,416.600432244227
Middle East & North Africa (excluding high income),3543.29326884296
Montenegro,5976.39414454596
Mongolia,1625.31847375123
Northern Mariana Islands,14877.0816812054
Mozambique,508.044895625424
Mauritania,1378.21510363371
Mauritius,6574.6635764099
Malawi,478.028076481469
Malaysia,7144.00023998183
North America,47727.4820398444
Namibia,4394.51734135638
New Caledonia,36864.8575980884
Niger,384.718345483996
Nigeria,1876.41303262801
Nicaragua,1323.83906546824
Netherlands,51799.2085521047
Norway,85502.2677087731
Nepal,386.529586362442
Nauru,
New Zealand,32479.9817381467
OECD members,34404.4735104157
Oman,16151.275839059
Other small states,10683.733341361
Pakistan,1012.18279419002
Panama,6205.82157550354
Peru,3572.36358879114
Philippines,1741.60351144895
Palau,10270.4585355778
Papua New Guinea,1379.12699349288
Poland,11254.3140875349
Pre-demographic dividend,1168.00458951582
Puerto Rico,23664.8823485096
"Korea, Dem. People's Rep.",
Portugal,22811.0564844365
Paraguay,3194.26298162817
West Bank and Gaza,1664.24571669276
Pacific island small states,2818.28767471492
Post-demographic dividend,38783.0880976529
French Polynesia,23837.8175326459
Qatar,64706.9899026035
Romania,8360.33775916596
Russia,9101.2392578125
Rwanda,427.457146851438
Saudi Arabia,15756.193622653
Sudan,1500.67309570313
Senegal,1210.16749782982
Singapore,39432.8860198877
Solomon Islands,1377.86200603136
Sierra Leone,358.077315538609
El Salvador,2814.58988893523
San Marino,71970.0587250442
Somalia,
Serbia,5848.47640545105
Sub-Saharan Africa (excluding high income),1392.20272606127
South Sudan,
Sub-Saharan Africa,1393.3906306264
Small states,9833.7642952207
Sao Tome and Principe,878.135469920286
Suriname,5562.33406798787
Slovak Republic,16106.0604446695
Slovenia,23817.8867320201
Sweden,53700.0053363063
Eswatini,3200.51257139291
Sint Maarten (Dutch part),
Seychelles,12669.3026687222
Syrian Arab Republic,8695.84446115791
Turks and Caicos Islands,29446.0826861581
Chad,806.710318791497
Togo,621.734576119957
Thailand,3934.69090919863
Tajikistan,517.434872524171
Turkmenistan,2520.28502555268
Timor-Leste,532.485417349283
Tonga,2799.36818151897
Trinidad and Tobago,15627.2868179082
Tunisia,3678.06247940242
Turkiye,9711.22376120832
Tuvalu,2803.24846711646
Tanzania,539.53955078125
Uganda,401.709187643744
Ukraine,3197.93432617188
Upper middle income,4255.42075029938
Uruguay,7149.37463386796
United States,48050.2237771135
Uzbekistan,830.407694204322
St. Vincent and the Grenadines,6439.00839769966
"Venezuela, RB",8369.23526829668
British Virgin Islands,
Virgin Islands (U.S.),44158.5054044325
Viet Nam,913.312331601755
Vanuatu,2261.45929411079
Samoa,3011.10080866752
Kosovo,
"Yemen, Rep.",956.230476661668
South Africa,6662.06278541847
Zambia,1133.43615831521
Zimbabwe,425.036841692684
