Country,GDP
Aruba,25832.9255649671
Africa Eastern and Southern,1232.42341200336
Afghanistan,274.015394322653
Africa Western and Central,1243.17388936285
Angola,2597.96358469905
Albania,2972.74362094736
Andorra,43084.283724089
Arab World,4704.00506701541
United Arab Emirates,45339.5851165809
Argentina,5890.97800169795
Armenia,2109.5263835731
American Samoa,8673.92719531291
Antigua and Barbuda,14310.6862347854
Australia,36595.7071548423
Austria,40669.3269586152
Azerbaijan,2472.95725732287
Burundi,166.276245228761
Belgium,38705.1067959147
Benin,837.132002451152
Burkina Faso,457.342074853242
Bangladesh,503.538332188534
Bulgaria,4523.1465578805
Bahrain,19057.7989047138
The Bahamas,28829.8493750425
Bosnia and Herzegovina,3170.17478337184
Belarus,3848.22350300163
Belize,5486.83143439175
Bermuda,95221.8588720301
Bolivia,1200.06804203621
Brazil,5866.02341427165
Barbados,15595.6364981048
Brunei Darussalam,30767.7538331071
Bhutan,1299.63125850551
Botswana,5142.91383354359
Central African Republic,340.414517099341
Canada,40504.0607253203
Central Europe and the Baltics,9469.73313613571
Switzerland,59011.0324592016
Channel Islands,63665.3153474479
Chile,9418.27492364213
China,2099.2194300786
Ivory Coast,1303.56496674267
Cameroon,1177.96860522717
Democratic Republic of the Congo,247.54193564633
"Congo, Rep.",2116.86894319341
Colombia,3782.60349568944
Comoros,1155.08567466696
Cabo Verde,2220.09817493874
Costa Rica,5188.361792249
Caribbean small states,8193.45370995995
Cuba,4336.87332999361
Curacao,
Cayman Islands,87184.5121355204
Cyprus,26729.32421875
Czechia,15261.7975911138
Germany,36353.8803343631
Djibouti,907.817943782596
Dominica,5677.05117470908
Denmark,52026.9995142723
Dominican Republic,4080.04573853712
Algeria,3500.13459382737
Ecuador,3340.84090289849
Egypt,1332.33941000282
Eritrea,420.528739757639
Spain,28389.0785799873
Estonia,12639.4000677296
Ethiopia,191.75129245508
European Union,29089.7101540897
Finland,41222.6020004611
Fiji,3483.59718493626
France,36470.2128399313
Faroe Islands,41762.6898536453
"Micronesia, Fed. Sts.",2298.63645841833
Gabon,6873.45398271021
United Kingdom,44512.4590296865
Georgia,1996.02013272284
Ghana,904.169527809899
Gibraltar,
Guinea,452.276159713719
"Gambia, The",615.973928349442
Guinea-Bissau,418.902079016511
Equatorial Guinea,11140.1901650513
Greece,24821.9367451879
Grenada,6295.28117153806
Greenland,35458.2542977474
Guatemala,2251.07878386326
Guam,25735.5396994079
Guyana,3138.08220913067
High income,34885.3492425182
"Hong Kong SAR, China",28224.0951563146
Honduras,1409.57974824961
Heavily indebted poor countries (HIPC),584.786538030129
Croatia,11505.399839938
Haiti,824.358051858249
Hungary,11489.5608654088
IBRD only,2692.21141973264
IDA & IBRD total,2268.25390764131
IDA total,868.604318070936
IDA blend,1150.6159772553
Indonesia,1572.79793972155
IDA only,727.506990667424
Isle of Man,42662.6028527822
India,802.013742049265
Not classified,
Ireland,54329.1618599624
"Iran, Islamic Rep.",3736.1777926143
Iraq,2253.54711274949
Iceland,57492.9342498703
Israel,22494.6420931621
Italy,33529.7266014361
Jamaica,4435.57144393175
Jordan,2478.29194408734
Japan,35991.546002862
Kazakhstan,5291.57400354244
Kenya,699.399738284504
Kyrgyz Republic,543.110702403072
Cambodia,539.747365391142
Kiribati,1101.45760046186
St. Kitts and Nevis,13747.8093359819
South Korea,21743.4774514254
Kuwait,42970.6964488258
Lao PDR,581.01024361377
Lebanon,4665.96280134547
Liberia,323.841225769427
Libya,10060.361041075
St. Lucia,7618.90541950613
Latin America & Caribbean,6028.74289072251
Sri Lanka,1423.19062070134
Lesotho,910.618563398363
Late-demographic dividend,3499.41450791119
Lithuania,9230.70798102521
Latvia,9723.44690174779
"Macao SAR, China",29637.7670637369
St. Martin (French part),
Morocco,2433.21264648438
Moldova,1183.02481442894
Madagascar,330.522670008512
Maldives,5010.16342484565
Middle East & North Africa,5308.19661309058
Mexico,9545.28672531477
Marshall Islands,2633.28659976387
Middle income,2269.89250316348
North Macedonia,3362.97069325398
Mali,506.911838699572
Malta,16723.8842735356
Myanmar,301.58191391586
Middle East & North Africa (excluding high income),2963.3876230645
Montenegro,4425.67887307803
Mongolia,1322.64067515404
Northern Mariana Islands,14986.3760217984
Mozambique,458.615152006485
Mauritania,1272.08243396613
Mauritius,5695.97525509869
Malawi,443.523675665125
Malaysia,6137.15053996313
North America,45741.0325855388
Namibia,4027.96170615871
New Caledonia,29604.0525466296
Niger,331.103767973979
Nigeria,1652.15400173092
Nicaragua,1223.08314801605
Netherlands,44900.9381441374
Norway,74434.4996835671
Nepal,341.028140039374
Nauru,
New Zealand,26654.5932018985
OECD members,31656.8710168939
Oman,14533.7294232494
Other small states,8971.44661363843
Pakistan,909.032403273312
Panama,5385.56424337546
Peru,3123.32015935927
Philippines,1452.22140548112
Palau,9805.92282990978
Papua New Guinea,1245.47417602948
Poland,9035.53275810927
Pre-demographic dividend,990.326110200757
Puerto Rico,22935.9411586313
"Korea, Dem. People's Rep.",
Portugal,19839.4540499032
Paraguay,2426.41709770871
West Bank and Gaza,1570.10439962728
Pacific island small states,2586.38854378363
Post-demographic dividend,35741.6546510312
French Polynesia,21382.2357125753
Qatar,59978.86120736
Romania,5757.53127301178
Russia,6920.19970703125
Rwanda,358.13922674387
Saudi Arabia,14848.6020580308
Sudan,1179.89831542969
Senegal,1038.57909197327
Singapore,33768.4528234651
Solomon Islands,1250.9538420042
Sierra Leone,320.514410808579
El Salvador,2651.43088765876
San Marino,63692.6167681957
Somalia,
Serbia,4382.61727851692
Sub-Saharan Africa (excluding high income),1234.17757242873
South Sudan,
Sub-Saharan Africa,1235.42375977792
Small states,8385.69143943504
Sao Tome and Principe,861.518202332935
Suriname,5031.15846462469
Slovak Republic,13170.7849804675
Slovenia,19672.9655554146
Sweden,46593.6021646111
Eswatini,3053.93257078305
Sint Maarten (Dutch part),
Seychelles,12782.9938926475
Syrian Arab Republic,7914.77149445229
Turks and Caicos Islands,28728.5697230181
Chad,716.66776844238
Togo,400.321487695293
Thailand,3343.78595174831
Tajikistan,401.026829310322
Turkmenistan,2074.40738939883
Timor-Leste,456.27269838844
Tonga,2751.96028250318
Trinidad and Tobago,13340.916273498
Tunisia,3279.10281991951
Turkiye,8003.81449265461
Tuvalu,2402.48010604013
Tanzania,472.613342285156
Uganda,346.768462326785
Ukraine,2391.32397460938
Upper middle income,3467.70875097451
Uruguay,5942.12674899064
United States,46302.0008800056
Uzbekistan,654.283837283285
St. Vincent and the Grenadines,5775.0917474952
"Venezuela, RB",6769.86841430715
British Virgin Islands,
Virgin Islands (U.S.),41377.1466009652
Viet Nam,790.592516384921
Vanuatu,1970.8984112702
Samoa,2639.80566895345
Kosovo,
"Yemen, Rep.",867.83596261227
South Africa,6139.58161766664
Zambia,1065.59641685012
Zimbabwe,441.498796884795
