Country,GDP
Aruba,17140.4333687405
Africa Eastern and Southern,766.165630990583
Afghanistan,
Africa Western and Central,872.067326938344
Angola,398.120222507968
Albania,750.604449178826
Andorra,18731.6501854151
Arab World,2208.12660845365
United Arab Emirates,27010.6781857038
Argentina,7383.70450960064
Armenia,441.89400183385
American Samoa,
Antigua and Barbuda,8440.03452559258
Australia,20448.1219685874
Austria,30325.8495818396
Azerbaijan,314.55801908334
Burundi,168.627167702793
Belgium,28413.8264387368
Benin,358.822986995425
Burkina Faso,229.832660030037
Bangladesh,322.087389769502
Bulgaria,2259.25922555221
Bahrain,9543.38936842945
The Bahamas,11447.0178999446
Bosnia and Herzegovina,497.682846633728
Belarus,1370.4784567014
Belize,4011.14003138603
Bermuda,33989.7231613832
Bolivia,856.365053473587
Brazil,4704.95983707965
Barbados,8451.95859885549
Brunei Darussalam,15827.9873635211
Bhutan,550.656227851328
Botswana,3064.58598471337
Central African Republic,340.399679950526
Canada,20679.634792669
Central Europe and the Baltics,3580.94831638001
Switzerland,50113.8321221345
Channel Islands,
Chile,5094.39348295039
China,609.604337927454
Ivory Coast,769.255683602722
Cameroon,822.363212618705
Democratic Republic of the Congo,130.375730301015
"Congo, Rep.",771.613945676931
Colombia,2571.46818996686
Comoros,823.676610322088
Cabo Verde,1184.17673484282
Costa Rica,3240.71114533234
Caribbean small states,3523.82145408553
Cuba,2784.90260522494
Curacao,
Cayman Islands,
Cyprus,15261.41015625
Czechia,5824.12129119574
Germany,31658.3493789135
Djibouti,790.51610670884
Dominica,3967.02680918227
Denmark,35351.3654606819
Dominican Republic,2114.09059968729
Algeria,1466.54468037742
Ecuador,2113.2636522054
Egypt,937.543150130502
Eritrea,267.944681117364
Spain,15471.962716535
Estonia,3134.38975345407
Ethiopia,133.341100582353
European Union,19464.091806671
Finland,26271.5998141691
Fiji,2486.98193011465
France,26889.4250554833
Faroe Islands,20577.6671574177
"Micronesia, Fed. Sts.",2008.33242694511
Gabon,4419.79033912655
United Kingdom,23168.9529580171
Georgia,578.344609852583
Ghana,370.688085003587
Gibraltar,
Guinea,494.582071897826
"Gambia, The",632.771163695593
Guinea-Bissau,227.320015429519
Equatorial Guinea,252.975284209893
Greece,12959.3242908115
Grenada,3288.22331845588
Greenland,21665.8295173116
Guatemala,1424.68254256258
Guam,
Guyana,826.973370523572
High income,24373.9334509088
"Hong Kong SAR, China",23497.3920767477
Honduras,919.937993255915
Heavily indebted poor countries (HIPC),329.518112328281
Croatia,4930.33530861222
Haiti,368.84708576527
Hungary,4494.70762405948
IBRD only,1319.20851053338
IDA & IBRD total,1152.19283142529
IDA total,521.253719676575
IDA blend,779.237943940173
Indonesia,1020.1466814341
IDA only,392.128740890525
Isle of Man,12802.1226759755
India,373.628235651141
Not classified,
Ireland,19158.4564773907
Iran,1585.97793678392
Iraq,615.500371815598
Iceland,26633.5913761549
Israel,18916.6736162439
Italy,20664.5522701724
Jamaica,2621.18197015945
Jordan,1509.04054936212
Japan,44197.6191013908
Kazakhstan,1288.18851938364
Kenya,336.565349625298
Kyrgyz Republic,364.226497350785
Cambodia,315.14234799495
Kiribati,691.408426873241
St. Kitts and Nevis,7367.45441093267
South Korea,12564.7243743092
Kuwait,16424.9754090658
