Country,GDP,info
Aruba,25740.77,na
Africa Eastern and Southern,1420.29,na
Afghanistan,453.39,na
Africa Western and Central,1467.62,na
Angola,3123.7,na
Albania,4114.13,"Andi Reçi,9,354,nan;Niko Kaso,5,429,nan;Ridgers Mema,5,429,nan;Ornela Xhelili,3,459,nan;Tedi Aliaj,2,482,nan;Arlind Gjoka,0,547,nan"
Andorra,49750.72,na
Arab World,5587.92,na
United Arab Emirates,31722.59,"Alya Alqaydi,2,482,nan;Fatmah Al Salami,1,511,nan;Meera Saeed Khalifa Almehairi,0,547,nan;Alya Abdulla Musabbeh Salem Alqaydi,0,547,nan;Kaltham Yousef Tahnon,0,547,nan"
Argentina,8184.39,"Germán Stefanich,31,50,Silver medal;Iván Sadofschi,17,220,Bronze medal;Federico Cogorno,13,283,nan;Miguel Maurizio,12,296,Honourable mention;Alfredo Umfurer,11,314,nan;Ariel Zylber,9,354,Honourable mention"
Armenia,2917.37,"Vahagn Aslanyan,18,208,Bronze medal;Vahagn Kirakosyan,17,220,Bronze medal;Anna Srapionyan,9,354,nan;Hayk Saribekyan,8,376,Honourable mention;Vanik Tadevosyan,6,416,nan;Nerses Srapionyan,1,511,nan"
American Samoa,12191.6,na
Antigua and Barbuda,14530.6,na
Australia,42816.57,"Andrew Elvey Price,37,10,Gold medal;Sampson Wong,34,27,Gold medal;Aaron Wan Yau Chong,30,54,Silver medal;Stacey Wing Chee Law,22,168,Bronze medal;Alfred Liang,17,220,Bronze medal;Dana Ma,11,314,Honourable mention"
Austria,48153.32,"Felix Dräxler,17,220,Bronze medal;Johannes Hafner,14,264,Bronze medal;Stephan Pfannerer,13,283,Honourable mention;Clemens Müllner,9,354,Honourable mention;Adrian Fuchs,7,393,nan;Valerie Roitner,6,416,nan"
Azerbaijan,4950.4,"Altun Shukurlu,26,110,Silver medal;Ilgar Ramazanli,22,168,Bronze medal;Emil Jafarli,16,233,Bronze medal;Subhan Rustamli,13,283,Honourable mention;Elvin Aliyev,12,296,Honourable mention;Zulfu Aslanli,2,482,nan"
Burundi,204.54,na
Belgium,44760.29,"Nicolas Radu,28,83,Silver medal;Mats Vermeeren,19,198,Bronze medal;Alexander Lemmens,16,233,Bronze medal;Loïc Burger,13,283,nan;Gregory Debruyne,10,335,Honourable mention;Cédric De Groote,3,459,nan"
Benin,1061.72,"Arélyss Eblohoué,2,482,nan;Comlan Edmond Koudjinan,1,511,nan"
Burkina Faso,603.88,na
Bangladesh,698.52,"Samin Riasat,17,220,Bronze medal;Nazia Naser Chowdhury,14,264,Bronze medal;Tarik Adnan Moon,13,283,Honourable mention;Haque Muhammad Ishfaq,10,335,Honourable mention;Pranon Rahman Khan,9,354,Honourable mention;Kazi Hasan Zubaer,4,444,nan"
