Country,GDP,info
Aruba,24105.52,na
Africa Eastern and Southern,991.19,na
Afghanistan,221.83,na
Africa Western and Central,841.3,na
Angola,1254.7,na
Albania,2373.58,"Gjergji Zaimi,19,187,Bronze medal;Erita Skendaj,13,272,Honourable mention;Erion Dula,10,316,nan;Erind Meco,8,351,nan;Ejona Fuli,5,396,nan;Ersilio Tushaj,2,437,nan"
Andorra,37630.76,na
Arab World,3394.1,na
United Arab Emirates,37017.74,na
Argentina,4258.16,"Yue Yang,34,28,Gold medal;Lucas Andisco,17,212,Bronze medal;Ramiro Lafuente,17,212,Bronze medal;Gabriel Carvajal,11,295,Honourable mention;María Victoria Toso,11,295,nan;Ignacio Agustín Rossi,2,437,nan"
Armenia,1166.64,"Vardan Voskanyan,21,159,Bronze medal;Arman Darbinyan,17,212,Bronze medal;Haik Sedrakyan,17,212,Bronze medal;Tigran Sloyan,17,212,Bronze medal;Armen Nurbekyan,15,244,Honourable mention;Vahe Musoyan,11,295,nan"
American Samoa,8832.82,na
Antigua and Barbuda,11650.85,na
Australia,30836.73,"Ivan Guo,32,38,Gold medal;Laurence Field,24,113,Silver medal;Alex Hua,23,124,Bronze medal;Daniel Nadasi,20,169,Bronze medal;Graham White,15,244,Honourable mention;Kamil Khan,11,295,nan"
Austria,36889.23,"Birgit Vera Schmidt,20,169,Bronze medal;Jan Pöschko,14,264,Honourable mention;Andreas Pipp,7,367,nan;Michael Razen,7,367,nan;Bernhard Kiniger,4,408,nan;Jakob Preininger,3,424,nan"
Azerbaijan,1045.01,"Javid Habibov,24,113,Silver medal;Khayal Musayev,12,281,nan;Tural Amirov,11,295,nan;Farhad Aghayev,10,316,nan;Tavakgul Mehraliyev,8,351,nan;Khalil Nasirov,7,367,nan"
Burundi,128.54,na
Belgium,35429.41,"Arne Smeets,26,93,Silver medal;Timothée Marquis,18,200,Bronze medal;David Frenay,16,229,Bronze medal;Julien Coppe,11,295,Honourable mention;Xander Verbeke,10,316,nan;Nicolas van den Rijt,5,396,nan"
Benin,784.12,na
Burkina Faso,405.45,na
Bangladesh,469.12,na
Bulgaria,3389.69,"Rosen Dimitrov Kralev,36,16,Gold medal;Lozan Ivanov,36,16,Gold medal;Artur Kirkorian,35,20,Gold medal;Ivan Dimitrov Dimitrov,31,46,Silver medal;Aleksandar Dimitrov Lishkov,29,65,Silver medal;Dimitar Nedelchev Simeonov,27,81,Silver medal"
Bahrain,15777.96,na
The Bahamas,26393.41,na
Bosnia and Herzegovina,2451.58,"Amna Hadžiabdić,12,281,Honourable mention;Nermin Hodžić,12,281,nan;Milenko Milićević,7,367,Honourable mention;Edin Bošković,4,408,nan;Momčilo Kovač,4,408,nan;Aleksandar Mlađenović,1,456,nan"
Belarus,2378.34,"Igor Khrol,31,46,Silver medal;Stanislau Arkhipau,30,58,Silver medal;Uladzimir Kokarau,27,81,Silver medal;Aliaksei Levin,25,101,Silver medal;Alexandr Tarasyuk,22,143,Bronze medal;Pavel Irzhauski,19,187,Bronze medal"
Belize,5123.6,na
Bermuda,70359.32,na
Bolivia,951.95,na
Brazil,3623.22,"Gabriel Tavares Bujokas,29,65,Silver medal;Rafael Daigo Hirama,26,93,Silver medal;Thiago Costa Leite Santos,21,159,Bronze medal;Fábio Dias Moreira,21,159,Bronze medal;Henry Wei Cheng Hsu,19,187,Bronze medal;Rafael Marini Silva,16,229,Bronze medal"
Barbados,12828.44,na
Brunei Darussalam,21839.26,na
Bhutan,1050.13,na
Botswana,4818.21,na
Central African Republic,309.19,na
Canada,32143.68,"Jacob Tsimerman,42,1,Gold medal;János Kramár,22,143,Bronze medal;Peng Shi,22,143,Bronze medal;Yufei Zhao,18,200,Bronze medal;Oleg Ivrii,15,244,Honourable mention;Dong Uk (David) Rhee,13,272,Honourable mention"
Central Europe and the Baltics,7176.51,na
Switzerland,54659.46,"Markus Sprecher,23,124,Bronze medal;Volodymyr Serbinenko,16,229,Bronze medal;Reto Locher,13,272,Honourable mention;Simon David Hasenfratz,3,424,nan;Michèle Itten,1,456,nan;Andreas Steiger,1,456,nan"
Channel Islands,57200.47,na
Chile,6185.3,na
China,1508.67,"Zhiyi Huang,41,5,Gold medal;Qingsan Zhu,38,9,Gold medal;Xianying Li,37,12,Gold medal;Yuncheng Lin,35,20,Gold medal;Minyu Peng,35,20,Gold medal;Shiwu Yang,34,28,Gold medal"
Ivory Coast,1267.76,na
Cameroon,1119.98,na
Democratic Republic of the Congo,187.86,na
"Congo, Rep.",1314.41,na
Colombia,2811.46,"Pascual Restrepo Mesa,31,46,Silver medal;Juan Ignacio Restrepo Lozano,26,93,Silver medal;Santiago Saavedra Pineda,21,159,Bronze medal;Jonathan Montano Martinez,19,187,Bronze medal;Andres Uribe Gonzales,15,244,nan;José Gabriel Acevedo Habeych,10,316,nan"
Comoros,1090.43,na
Cabo Verde,1900.89,na
Costa Rica,4376.08,na
Caribbean small states,6453.85,na
Cuba,3403.3,"Jorge E Moreira Broche,17,212,Bronze medal"
Curacao,,na
Cayman Islands,,na
Cyprus,23792.62,"Sofoklis Zambirinis,21,159,Bronze medal;Markos Charalambides,10,316,Honourable mention;Vasilis Malikides,9,335,nan;Achilleas Kryftis,6,382,nan;Christos Zacharias,2,437,nan;Michalis Christou,1,456,nan"
Czechia,11749.85,na
Germany,34106.66,"Peter Scholze,31,46,Silver medal;Christian Sattler,29,65,Silver medal;Darij Grinberg,27,81,Silver medal;Annika Heckel,17,212,Bronze medal;Mykhaylo Shkolnikov,15,244,Honourable mention;Matthias Ohst,11,295,Honourable mention"
Djibouti,813.9,na
Dominica,5354.8,na
Denmark,46511.6,"Martin Wedel Jacobsen,20,169,Bronze medal;Bo Chen,9,335,nan;Søren Møller,5,396,nan;Eske Sparsø,5,396,nan;Sune Nikolaj Precht Reeh,4,408,nan;Thomas Dueholm Hansen,3,424,nan"
Dominican Republic,2468.44,na
Algeria,2624.8,na
