,Name,Team,IMO,Name,Team,IMO,Fields_Medal,Wolf_Prize,EMS_Prize,AMS_research_prizes,Clay_Award,Abel_Prize,Person_Image,Country_Flag,Wikipedia_URL
14,Alexander Goncharov,Soviet Union,['G 1976'],,,1992,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/125px-Flag_of_the_Soviet_Union.svg.png,https://en.wikipedia.org/wiki/Alexander_Goncharov
15,Richard Borcherds,United Kingdom,"['G 1978': 'S 1977']",1998,,1992,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Richard_Borcherds.jpg/220px-Richard_Borcherds.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Flag_of_the_United_Kingdom_%281-2%29.svg/125px-Flag_of_the_United_Kingdom_%281-2%29.svg.png,https://en.wikipedia.org/wiki/Richard_Borcherds
16,Timothy Gowers,United Kingdom,['P 1981'],1998,,1996,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Timothy_Gowers_Washington_2009.jpg/220px-Timothy_Gowers_Washington_2009.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Flag_of_the_United_Kingdom_%281-2%29.svg/125px-Flag_of_the_United_Kingdom_%281-2%29.svg.png,https://en.wikipedia.org/wiki/Timothy_Gowers
17,Peter Kronheimer,United Kingdom,['S 1981'],,,,2007 (Veblen),,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Flag_of_the_United_Kingdom_%281-2%29.svg/125px-Flag_of_the_United_Kingdom_%281-2%29.svg.png,https://en.wikipedia.org/wiki/Peter_Kronheimer
18,Michel Goemans,Belgium,"['R 1981': 'R 1982']",,,,2000 (Fulkerson),,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Goemans_michel.jpg/220px-Goemans_michel.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Belgium.svg/125px-Flag_of_Belgium.svg.png,https://en.wikipedia.org/wiki/Michel_Goemans
19,Gábor Tardos,Hungary,"['S 1982': 'S 1981', 'R 1979']",,,1992,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/G%C3%A1bor_Tardos.jpg/220px-G%C3%A1bor_Tardos.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/125px-Flag_of_Hungary.svg.png,https://en.wikipedia.org/wiki/Gábor_Tardos
20,Grigori Perelman,Soviet Union,['P 1982'],2006[3],,1996[4],,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Grigori_Perelman%2C_1993_%28re-scanned%29_%28cropped%29.jpg/220px-Grigori_Perelman%2C_1993_%28re-scanned%29_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/125px-Flag_of_the_Soviet_Union.svg.png,https://en.wikipedia.org/wiki/Grigori_Perelman
21,Alexis Bonnet,France,"['S 1984': 'S 1983']",,,1996,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/125px-Flag_of_France.svg.png,https://en.wikipedia.org/wiki/Alexis_Bonnet
22,Laurent Lafforgue,France,"['S 1985': 'S 1984']",2002,,,,2000,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Laurent_Lafforgue.png/220px-Laurent_Lafforgue.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/125px-Flag_of_France.svg.png,https://en.wikipedia.org/wiki/Laurent_Lafforgue
23,Daniel Tătaru,Romania,"['P 1985': 'P 1984']",,,,2002 (Bôcher),,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/125px-Flag_of_Romania.svg.png,https://en.wikipedia.org/wiki/Daniel_Tătaru
